target_month,region_id,sales_target,profit_target
2026-04-01,R03,583633.22,87744.65
2026-04-01,R04,997744.98,116940.14
2026-04-01,R05,1596294.79,237911.95
2026-04-01,R06,1124389.44,138930.2
2026-04-01,R07,648528.98,124283.66
2026-04-01,R08,423671.0,55482.56
2026-04-01,R09,831897.9,128210.26
2026-04-01,R10,1317634.54,203437.63
2026-05-01,R01,488790.3,64486.14
2026-05-01,R02,1741920.83,291567.91
2026-05-01,R03,1421095.93,242038.63
2026-05-01,R04,1608789.98,185380.49
2026-05-01,R05,954903.84,151407.14
2026-05-01,R06,908453.2,168975.11
2026-05-01,R07,1146244.64,205380.08
2026-05-01,R08,1755825.6,272910.14
2026-05-01,R09,1850761.2,301380.09
2026-05-01,R10,1752952.59,246558.34
2026-06-01,R01,1173047.98,185138.64
2026-06-01,R02,523216.53,76321.45
2026-06-01,R03,1863607.16,310802.9
2026-06-01,R04,642885.86,90323.54
2026-06-01,R05,666144.97,74764.17
2026-06-01,R06,1880309.76,282683.25
2026-06-01,R07,857432.87,140501.48
2026-06-01,R08,362068.85,48887.26
2026-06-01,R09,1510005.22,252230.18
2026-06-01,R10,1969979.81,326686.07
