customer_id,customer_name,gender,age,city,state,region_id,customer_segment,signup_date,acquisition_channel
C00030,Customer 00030,Female,30,Kolkata,West Bengal,R03,Enterprise,2023-10-27,Paid Search
C00031,Customer 00031,Female,29,Patna,Bihar,R03,Corporate,2024-08-27,Referral
C00032,Customer 00032,Female,37,Ranchi,Jharkhand,R03,Enterprise,2025-11-01,Organic
C00033,Customer 00033,Male,21,Pune,Maharashtra,R04,Consumer,2024-10-03,Partner
C00034,Customer 00034,Female,26,Mumbai,,R04,Consumer,2023-03-17,Paid Search
C00035,Customer 00035,Female,25,Mysuru,Karnataka,R02,Small Business,2025-03-19,Email
C00036,Customer 00036,Male,32,Ludhiana,Punjab,R01,Small Business,2022-12-15,Organic
C00037,Customer 00037,,27,Gurugram,Haryana,R01,Consumer,2023-07-17,Social
C00038,Customer 00038,Female,28,Mysuru,Karnataka,R02,Corporate,2024-08-03,Social
C00039,Customer 00039,Female,36,Noida,Uttar Pradesh,R07,Corporate,2023-10-21,Paid Search
C00040,Customer 00040,Female,31,Hyderabad,Telangana,R02,Consumer,2025-05-30,Paid Search
C00041,Customer 00041,Male,35,Ahmedabad,Gujarat,R04,Consumer,2022-12-24,Paid Search
C00042,Customer 00042,Male,24,Bhopal,Madhya Pradesh,R05,Consumer,2024-07-24,Email
C00043,Customer 00043,Male,27,Kolkata,West Bengal,R03,Consumer,2022-12-14,Social
C00044,Customer 00044,Other,55,Mumbai,Maharashtra,R04,Small Business,2024-05-15,Organic
C00045,Customer 00045,Female,28,Bhopal,Madhya Pradesh,R05,Consumer,2025-09-27,Organic
C00046,Customer 00046,Female,18,Indore,Madhya Pradesh,R05,Small Business,2025-11-20,Partner
C00047,Customer 00047,Female,38,Mumbai,Maharashtra,R04,Corporate,2025-01-16,Organic
C00048,Customer 00048,Male,28,Jaipur,Rajasthan,R01,Enterprise,2024-07-16,Referral
C00049,Customer 00049,Female,37,Kolkata,West Bengal,R03,Consumer,2023-10-24,Organic
C00050,Customer 00050,Male,34,Gurugram,Haryana,R01,Consumer,2023-04-05,Paid Search
C00051,Customer 00051,Male,40,Ludhiana,Punjab,R01,Consumer,2022-02-26,Paid Search
C00052,Customer 00052,Male,34,Delhi,Delhi,R07,Corporate,2024-01-13,Partner
C00053,Customer 00053,Male,33,Bhubaneswar,Odisha,R03,Consumer,2024-12-21,Social
C00054,Customer 00054,Male,46,Hyderabad,Telangana,R02,Corporate,2025-05-05,Organic
C00055,Customer 00055,Female,18,Kolkata,West Bengal,R03,Consumer,2025-10-17,Social
C00056,Customer 00056,Female,22,Bhubaneswar,Odisha,R03,Consumer,2022-09-24,Organic
C00057,Customer 00057,Female,27,Surat,Gujarat,R04,Small Business,2025-09-15,Partner
C00058,Customer 00058,Male,18,Coimbatore,Tamil Nadu,R02,Small Business,2023-02-10,Paid Search
C00059,Customer 00059,Female,30,Gurugram,Haryana,R01,Consumer,2024-11-09,Partner
C00060,Customer 00060,Male,29,Faridabad,Haryana,R01,Corporate,2024-12-25,Email
C00061,Customer 00061,Male,45,Hyderabad,Telangana,R02,Consumer,2024-08-04,Organic
C00062,Customer 00062,Male,34,Mysuru,Karnataka,R02,Small Business,2023-09-05,Partner
C00063,Customer 00063,Male,33,Coimbatore,Tamil Nadu,R02,Consumer,2022-06-26,Partner
C00064,Customer 00064,Female,31,Patna,Bihar,R03,Consumer,2024-01-02,Email
C00065,Customer 00065,Female,24,Hyderabad,Telangana,R02,Consumer,2022-05-06,Paid Search
C00066,Customer 00066,Male,44,Mysuru,Karnataka,R02,Consumer,2024-07-05,Referral
C00067,Customer 00067,Female,47,Bengaluru,Karnataka,R02,Small Business,2023-01-23,Organic
C00068,Customer 00068,Male,23,Jaipur,Rajasthan,R01,Consumer,2022-10-11,Partner
C00069,Customer 00069,Male,51,Delhi,Delhi,R07,Consumer,2024-04-03,Organic
C00070,Customer 00070,Female,28,Surat,Gujarat,R04,Consumer,2022-12-30,Referral
C00071,Customer 00071,Female,27,Kanpur,Uttar Pradesh,R07,Consumer,2025-08-27,Email
C00072,Customer 00072,Female,40,Surat,Gujarat,R04,Corporate,2022-05-25,Partner
C00073,Customer 00073,Male,41,Raipur,Chhattisgarh,R05,Consumer,2025-06-26,Email
C00074,Customer 00074,Female,34,Noida,Uttar Pradesh,R07,Small Business,2025-02-03,Email
C00075,Customer 00075,Male,32,Delhi,Delhi,R07,Small Business,2023-03-24,Referral
C00076,Customer 00076,Male,47,Jodhpur,Rajasthan,R01,Consumer,2024-04-10,Social
C00077,Customer 00077,Male,29,Jaipur,Rajasthan,R01,Small Business,2023-06-20,Organic
C00078,Customer 00078,Male,34,Hyderabad,Telangana,R02,Consumer,2022-12-15,Partner
C00079,Customer 00079,Male,52,Mysuru,Karnataka,R02,Consumer,2023-03-30,Paid Search
C00080,Customer 00080,Male,22,Bhubaneswar,Odisha,R03,Consumer,2023-05-15,Email
C00081,Customer 00081,Female,30,Hyderabad,Telangana,R02,Consumer,2024-02-14,Paid Search
C00082,Customer 00082,Male,45,Mumbai,Maharashtra,R04,Consumer,2024-04-27,Paid Search
C00083,Customer 00083,Male,40,Indore,Madhya Pradesh,R05,Consumer,2025-03-27,Social
C00084,Customer 00084,Female,44,Faridabad,Haryana,R01,Small Business,2024-04-14,Partner
C00085,Customer 00085,Female,22,Delhi,Delhi,R07,Consumer,2025-02-18,Organic
C00086,Customer 00086,Male,38,Delhi,Delhi,R07,Enterprise,2025-09-06,Social
C00087,Customer 00087,Male,32,Kolkata,West Bengal,R03,Consumer,2025-07-18,Organic
C00088,Customer 00088,Male,58,Surat,Gujarat,R04,Corporate,2023-08-20,Social
C00089,Customer 00089,Female,43,Gurugram,Haryana,R01,Consumer,2024-02-02,Social
C00090,Customer 00090,Male,35,Bengaluru,Karnataka,R02,Consumer,2025-03-23,Organic
C00091,Customer 00091,Male,38,Gurugram,Haryana,R01,Consumer,2024-08-19,Referral
C00092,Customer 00092,Female,36,Kolkata,West Bengal,R03,Small Business,2022-07-10,Email
C00093,Customer 00093,Female,42,Ahmedabad,Gujarat,R04,Small Business,2025-10-25,Email
C00094,Customer 00094,Male,26,Nagpur,Maharashtra,R04,Consumer,2025-01-25,Referral
C00095,Customer 00095,Male,49,Jaipur,Rajasthan,R01,Corporate,2024-09-13,Organic
C00096,Customer 00096,Male,22,Hyderabad,Telangana,R02,Corporate,2025-12-16,Referral
C00097,Customer 00097,Male,37,Mumbai,Maharashtra,R04,Consumer,2022-09-02,Referral
C00098,Customer 00098,Male,27,Delhi,Delhi,R07,Consumer,2025-07-17,Referral
C00099,Customer 00099,Female,35,Faridabad,Haryana,R01,Corporate,2023-04-23,Referral
C00100,Customer 00100,Female,45,Ranchi,Jharkhand,R03,Small Business,2025-04-02,Referral
C00101,Customer 00101,Female,18,Kochi,Kerala,R02,Consumer,2022-04-21,Referral
C00102,Customer 00102,Female,33,Kolkata,West Bengal,R03,Consumer,2024-03-23,Email
C00103,Customer 00103,Female,21,Jodhpur,Rajasthan,R01,Consumer,2022-06-11,Social
C00104,Customer 00104,Male,32,Ranchi,Jharkhand,R03,Small Business,2025-10-18,Organic
C00105,Customer 00105,Female,21,Bhubaneswar,Odisha,R03,Consumer,2023-12-20,Email
C00106,Customer 00106,Male,37,Kolkata,West Bengal,R03,Consumer,2025-06-03,Referral
C00107,Customer 00107,Male,31,Ahmedabad,Gujarat,R04,Consumer,2024-12-15,Referral
C00108,Customer 00108,Male,42,Jodhpur,Rajasthan,R01,Small Business,2023-12-07,Paid Search
C00109,Customer 00109,Female,47,Delhi,Delhi,R07,Corporate,2022-10-04,Organic
C00110,Customer 00110,Female,35,Kochi,Kerala,R02,Consumer,2023-11-15,Email
C00111,Customer 00111,Male,44,Surat,,R04,Consumer,2023-04-13,Organic
C00112,Customer 00112,Male,49,Amritsar,Punjab,R01,Small Business,2023-01-07,Paid Search
C00113,Customer 00113,Female,26,Jaipur,Rajasthan,R01,Consumer,2023-05-07,Social
C00114,Customer 00114,Male,49,Coimbatore,Tamil Nadu,R02,Consumer,2022-12-02,Organic
C00115,Customer 00115,Male,35,Amritsar,Punjab,R01,Enterprise,2025-05-12,Social
C00116,Customer 00116,Female,25,Raipur,Chhattisgarh,R05,Consumer,2025-08-21,Organic
C00117,Customer 00117,Female,38,Patna,Bihar,R03,Consumer,2022-09-26,Organic
C00118,Customer 00118,Male,34,Kolkata,West Bengal,R03,Consumer,2022-11-07,
C00119,Customer 00119,Male,21,Surat,Gujarat,R04,Corporate,2022-02-19,Social
C00120,Customer 00120,Female,24,Hyderabad,Telangana,R02,Small Business,2023-09-04,Partner
C00121,Customer 00121,Male,51,Coimbatore,Tamil Nadu,R02,Consumer,2024-06-30,Social
C00122,Customer 00122,Female,38,Hyderabad,Telangana,R02,Corporate,2023-01-21,Email
C00123,Customer 00123,Female,50,Delhi,Delhi,R07,Small Business,2024-02-09,Organic
C00124,Customer 00124,Female,31,Ahmedabad,Gujarat,R04,Small Business,2023-05-06,Paid Search
C00125,Customer 00125,Male,27,Delhi,Delhi,R07,Consumer,2022-01-04,Paid Search
C00126,Customer 00126,Male,18,Mysuru,Karnataka,R02,Consumer,2022-12-14,Organic
C00127,Customer 00127,Male,45,Nagpur,Maharashtra,R04,Small Business,2025-01-22,Partner
C00128,Customer 00128,Male,39,Faridabad,Haryana,R01,Consumer,2025-07-13,Social
C00129,Customer 00129,Male,31,Faridabad,Haryana,R01,Consumer,2023-09-12,Social
C00130,Customer 00130,Male,27,Chennai,,R02,Consumer,2024-04-28,Social
C00131,Customer 00131,Male,46,Faridabad,Haryana,R01,Small Business,2024-03-11,Organic
C00132,Customer 00132,Female,33,Kochi,Kerala,R02,Consumer,2023-03-19,Partner
C00133,Customer 00133,Male,33,Coimbatore,Tamil Nadu,R02,Consumer,2024-09-07,Referral
C00134,Customer 00134,Male,29,Pune,Maharashtra,R04,Corporate,2023-08-18,Organic
C00135,Customer 00135,Male,31,Coimbatore,Tamil Nadu,R02,Consumer,2022-03-17,Social
C00136,Customer 00136,Female,41,Delhi,Delhi,R07,Consumer,2023-07-18,Organic
C00137,Customer 00137,Male,21,Visakhapatnam,Andhra Pradesh,R02,Consumer,2022-09-10,Referral
C00138,Customer 00138,Female,36,Bengaluru,Karnataka,R02,Consumer,2023-11-30,Social
C00139,Customer 00139,Male,45,Bhubaneswar,Odisha,R03,Enterprise,2023-11-08,Partner
C00140,Customer 00140,Female,34,Delhi,Delhi,R07,Consumer,2023-11-15,Partner
C00141,Customer 00141,Female,46,Mysuru,Karnataka,R02,Small Business,2022-09-09,Organic
C00142,Customer 00142,Female,48,Mysuru,Karnataka,R02,Consumer,2025-10-15,Organic
C00143,Customer 00143,Female,44,Vijayawada,Andhra Pradesh,R02,Consumer,2022-06-20,Partner
C00144,Customer 00144,Female,30,Chennai,Tamil Nadu,R02,Consumer,2023-03-05,Social
C00145,Customer 00145,Male,35,Bengaluru,Karnataka,R02,Consumer,2023-04-20,Social
C00146,Customer 00146,Male,38,Jaipur,Rajasthan,R01,Consumer,2023-10-28,Social
C00147,Customer 00147,Female,30,Pune,,R04,Consumer,2023-09-16,Social
C00148,Customer 00148,Female,30,Bengaluru,Karnataka,R02,Enterprise,2025-12-13,Social
C00149,Customer 00149,Female,29,Surat,Gujarat,R04,Consumer,2025-05-26,Partner
C00150,Customer 00150,Male,60,Delhi,Delhi,R07,Small Business,2022-03-22,Social
C00151,Customer 00151,Male,32,Indore,Madhya Pradesh,R05,Consumer,2024-05-19,Paid Search
C00152,Customer 00152,Female,46,Kochi,Kerala,R02,Consumer,2024-01-24,Organic
C00153,Customer 00153,Female,26,Gurugram,Haryana,R01,Corporate,2025-09-19,Partner
C00154,Customer 00154,Male,52,Mysuru,Karnataka,R02,Consumer,2023-05-14,Social
C00155,Customer 00155,Male,31,Gurugram,Haryana,R01,Consumer,2023-10-30,
C00156,Customer 00156,Female,36,Hyderabad,Telangana,R02,Consumer,2025-09-18,Organic
C00157,Customer 00157,Female,18,Jodhpur,Rajasthan,R01,Consumer,2023-11-22,Partner
C00158,Customer 00158,,46,Hyderabad,Telangana,R02,Small Business,2024-06-05,Social
C00159,Customer 00159,Male,48,Patna,,R03,Consumer,2023-04-01,Partner
C00160,Customer 00160,Male,23,Bhubaneswar,Odisha,R03,Enterprise,2025-02-17,Organic
C00161,Customer 00161,Male,47,Faridabad,Haryana,R01,Consumer,2022-04-30,Paid Search
C00162,Customer 00162,Male,22,Kochi,Kerala,R02,Consumer,2025-11-27,Organic
C00163,Customer 00163,Male,41,Noida,Uttar Pradesh,R07,Consumer,2022-09-09,Paid Search
C00164,Customer 00164,Male,32,Delhi,Delhi,R07,Consumer,2024-04-22,Partner
C00165,Customer 00165,Male,48,Bengaluru,Karnataka,R02,Small Business,2022-04-09,Paid Search
C00166,Customer 00166,Male,37,Nagpur,Maharashtra,R04,Small Business,2022-05-22,Email
C00167,Customer 00167,Female,44,Bhopal,Madhya Pradesh,R05,Consumer,2024-10-24,Referral
C00168,Customer 00168,Male,47,Indore,Madhya Pradesh,R05,Consumer,2025-02-22,Paid Search
C00169,Customer 00169,Male,32,Nagpur,Maharashtra,R04,Small Business,2023-05-25,Social
C00170,Customer 00170,Female,35,Vijayawada,Andhra Pradesh,R02,Consumer,2022-03-24,Email
C00171,Customer 00171,Male,24,Jaipur,Rajasthan,R01,Consumer,2022-02-16,Social
C00172,Customer 00172,Female,32,Mysuru,Karnataka,R02,Consumer,2025-09-27,Organic
C00173,Customer 00173,Female,54,Noida,Uttar Pradesh,R07,Consumer,2025-01-03,Partner
C00174,Customer 00174,Female,43,Vijayawada,Andhra Pradesh,R02,Consumer,2023-07-19,Social
C00175,Customer 00175,Male,25,Faridabad,Haryana,R01,Consumer,2023-01-08,Partner
C00176,Customer 00176,Female,51,Delhi,Delhi,R07,Small Business,2024-10-22,Referral
C00177,Customer 00177,Female,39,Surat,Gujarat,R04,Consumer,2025-07-29,Paid Search
C00178,Customer 00178,Female,43,Dehradun,Uttarakhand,R01,Small Business,2024-08-19,Paid Search
C00179,Customer 00179,Male,40,Kochi,Kerala,R02,Corporate,2025-04-17,Partner
C00180,Customer 00180,Female,39,Patna,,R03,Consumer,2025-05-27,Partner
C00181,Customer 00181,Female,18,Kochi,Kerala,R02,Consumer,2023-03-20,Paid Search
C00182,Customer 00182,Male,46,Kochi,Kerala,R02,Consumer,2024-12-06,Organic
C00183,Customer 00183,Male,18,Bengaluru,Karnataka,R02,Small Business,2022-12-11,Organic
C00184,Customer 00184,Female,45,Nagpur,Maharashtra,R04,Consumer,2022-11-22,Paid Search
C00185,Customer 00185,Male,36,Bhubaneswar,Odisha,R03,Small Business,2025-12-21,Paid Search
C00186,Customer 00186,Female,43,Hyderabad,Telangana,R02,Corporate,2023-04-23,Paid Search
C00187,Customer 00187,Other,37,Nagpur,Maharashtra,R04,Corporate,2025-04-12,Organic
C00188,Customer 00188,Male,45,Delhi,Delhi,R07,Consumer,2023-05-20,Social
C00189,Customer 00189,Male,35,Patna,Bihar,R03,Consumer,2025-09-15,Partner
C00190,Customer 00190,Female,38,Lucknow,Uttar Pradesh,R07,Corporate,2023-02-11,Organic
C00191,Customer 00191,Male,39,Vijayawada,Andhra Pradesh,R02,Corporate,2022-01-25,Referral
C00192,Customer 00192,Female,54,Lucknow,Uttar Pradesh,R07,Consumer,2023-11-08,Organic
C00193,Customer 00193,Male,41,Gurugram,Haryana,R01,Corporate,2024-05-24,Referral
C00194,Customer 00194,Male,22,Bhopal,Madhya Pradesh,R05,Consumer,2023-07-16,Partner
C00195,Customer 00195,Male,29,Gurugram,Haryana,R01,Corporate,2023-01-25,Paid Search
C00196,Customer 00196,Male,41,Amritsar,Punjab,R01,Consumer,2025-04-24,Email
C00197,Customer 00197,Female,48,Coimbatore,Tamil Nadu,R02,Consumer,2023-07-02,Organic
C00198,Customer 00198,Male,28,Guwahati,Assam,R06,Corporate,2024-10-20,Paid Search
C00199,Customer 00199,Male,57,Ludhiana,,R01,Consumer,2022-05-14,Organic
C00200,Customer 00200,Female,37,Nagpur,Maharashtra,R04,Consumer,2025-06-30,Paid Search
C00201,Customer 00201,Female,39,Bhubaneswar,Odisha,R03,Corporate,2024-12-29,Paid Search
C00202,Customer 00202,,22,Ranchi,Jharkhand,R03,Corporate,2022-09-04,Referral
C00203,Customer 00203,Female,46,Mysuru,Karnataka,R02,Small Business,2024-02-07,Paid Search
C00204,Customer 00204,Male,31,Faridabad,Haryana,R01,Consumer,2024-12-31,Email
C00205,Customer 00205,Female,28,Delhi,Delhi,R07,Consumer,2025-03-03,Paid Search
C00206,Customer 00206,Female,32,Noida,Uttar Pradesh,R07,Corporate,2023-09-07,Organic
C00207,Customer 00207,Female,49,Gurugram,Haryana,R01,Consumer,2022-06-20,Social
C00208,Customer 00208,Female,40,Kolkata,West Bengal,R03,Consumer,2022-03-28,Referral
C00209,Customer 00209,Female,26,Faridabad,,R01,Consumer,2025-12-28,Partner
C00210,Customer 00210,,30,Mysuru,Karnataka,R02,Consumer,2022-06-08,Email
C00211,Customer 00211,Female,49,Kolkata,West Bengal,R03,Enterprise,2023-05-25,Social
C00212,Customer 00212,Female,33,Chennai,Tamil Nadu,R02,Consumer,2025-06-04,Partner
C00213,Customer 00213,Male,41,Ludhiana,Punjab,R01,Consumer,2025-10-22,Paid Search
C00214,Customer 00214,Female,43,Indore,Madhya Pradesh,R05,Small Business,2023-11-21,Partner
C00215,Customer 00215,Female,18,Kolkata,West Bengal,R03,Enterprise,2024-09-15,Paid Search
C00216,Customer 00216,Female,48,Patna,Bihar,R03,Consumer,2024-01-19,Organic
C00217,Customer 00217,Male,26,Faridabad,Haryana,R01,Small Business,2022-06-09,Paid Search
C00218,Customer 00218,Female,31,Faridabad,Haryana,R01,Consumer,2023-12-19,Social
C00219,Customer 00219,Male,50,Kochi,Kerala,R02,Small Business,2025-02-16,Social
C00220,Customer 00220,Female,49,Nagpur,Maharashtra,R04,Consumer,2024-07-03,Organic
C00221,Customer 00221,Male,40,Jaipur,Rajasthan,R01,Consumer,2024-03-30,Paid Search
C00222,Customer 00222,Female,42,Bengaluru,Karnataka,R02,Consumer,2025-05-01,Social
C00223,Customer 00223,Male,45,Hyderabad,Telangana,R02,Corporate,2022-10-03,Referral
C00224,Customer 00224,Female,49,Vijayawada,Andhra Pradesh,R02,Consumer,2024-04-09,Partner
C00225,Customer 00225,Male,51,Jodhpur,Rajasthan,R01,Consumer,2022-10-01,Partner
C00226,Customer 00226,Female,36,Kochi,Kerala,R02,Corporate,2022-04-02,Social
C00227,Customer 00227,Female,28,Delhi,Delhi,R07,Consumer,2025-10-24,Social
C00228,Customer 00228,Male,32,Bengaluru,Karnataka,R02,Small Business,2025-02-10,Referral
C00229,Customer 00229,Female,36,Hyderabad,Telangana,R02,Consumer,2025-12-29,Email
C00230,Customer 00230,Female,34,Gurugram,Haryana,R01,Consumer,2023-11-01,Referral
C00231,Customer 00231,Male,25,Gurugram,Haryana,R01,Consumer,2024-04-21,Referral
C00232,Customer 00232,Male,39,Ahmedabad,Gujarat,R04,Consumer,2022-03-31,Paid Search
C00233,Customer 00233,Male,19,Ranchi,Jharkhand,R03,Consumer,2022-10-01,Partner
C00234,Customer 00234,Male,36,Coimbatore,Tamil Nadu,R02,Consumer,2022-05-04,Referral
C00235,Customer 00235,Female,36,Visakhapatnam,Andhra Pradesh,R02,Corporate,2023-05-13,Organic
C00236,Customer 00236,Female,36,Bhopal,Madhya Pradesh,R05,Consumer,2023-08-19,Social
C00237,Customer 00237,Male,44,Surat,Gujarat,R04,Consumer,2022-11-06,Paid Search
C00238,Customer 00238,Female,42,Bhubaneswar,Odisha,R03,Small Business,2025-02-10,Organic
C00239,Customer 00239,Male,57,Delhi,Delhi,R07,Consumer,2024-06-06,Referral
C00240,Customer 00240,Female,30,Gurugram,Haryana,R01,Corporate,2023-09-27,Referral
C00241,Customer 00241,Female,38,Indore,Madhya Pradesh,R05,Small Business,2023-08-08,Partner
C00242,Customer 00242,Female,37,Indore,Madhya Pradesh,R05,Consumer,2024-04-07,Partner
C00243,Customer 00243,Female,37,Kanpur,Uttar Pradesh,R07,Corporate,2023-07-07,Paid Search
C00244,Customer 00244,Male,22,Mysuru,Karnataka,R02,Enterprise,2025-02-03,Organic
C00245,Customer 00245,Female,23,Chennai,Tamil Nadu,R02,Consumer,2025-03-16,Organic
C00246,Customer 00246,Female,35,Guwahati,Assam,R06,Enterprise,2022-09-26,Partner
C00247,Customer 00247,Female,19,Coimbatore,Tamil Nadu,R02,Consumer,2025-11-08,Paid Search
C00248,Customer 00248,Male,32,Surat,Gujarat,R04,Consumer,2023-10-30,Paid Search
C00249,Customer 00249,Female,29,Mumbai,Maharashtra,R04,Consumer,2022-10-15,Referral
C00250,Customer 00250,Male,32,Surat,Gujarat,R04,Consumer,2025-05-26,Organic
C00251,Customer 00251,Female,46,Hyderabad,Telangana,R02,Enterprise,2023-08-29,Referral
C00252,Customer 00252,Female,24,Guwahati,Assam,R06,Consumer,2022-08-06,Partner
C00253,Customer 00253,Male,44,Surat,Gujarat,R04,Enterprise,2024-02-23,Referral
C00254,Customer 00254,Male,29,Noida,Uttar Pradesh,R07,Corporate,2023-08-22,Paid Search
C00255,Customer 00255,Male,31,Noida,Uttar Pradesh,R07,Small Business,2022-12-26,Organic
C00256,Customer 00256,Male,40,Patna,Bihar,R03,Enterprise,2024-11-28,Organic
C00257,Customer 00257,Male,32,Bhopal,Madhya Pradesh,R05,Consumer,2023-08-11,Organic
C00258,Customer 00258,Male,26,Faridabad,Haryana,R01,Enterprise,2024-02-10,Paid Search
C00259,Customer 00259,,31,Delhi,Delhi,R07,Small Business,2022-03-23,Organic
C00260,Customer 00260,Female,18,Coimbatore,Tamil Nadu,R02,Consumer,2023-06-23,Social
C00261,Customer 00261,Female,39,Gurugram,,R01,Corporate,2022-03-02,Paid Search
C00262,Customer 00262,Male,18,Bhopal,Madhya Pradesh,R05,Consumer,2023-02-17,Social
C00263,Customer 00263,Male,44,Nagpur,Maharashtra,R04,Consumer,2025-02-22,Paid Search
C00264,Customer 00264,Female,41,Gurugram,Haryana,R01,Consumer,2025-09-13,Paid Search
C00265,Customer 00265,Male,51,Kochi,Kerala,R02,Consumer,2023-05-11,Referral
C00266,Customer 00266,Male,57,Faridabad,Haryana,R01,Consumer,2024-10-18,Organic
C00267,Customer 00267,Male,44,Jaipur,Rajasthan,R01,Consumer,2024-10-30,Social
C00268,Customer 00268,Female,29,Gurugram,Haryana,R01,Corporate,2025-02-16,Social
C00269,Customer 00269,Male,57,Faridabad,Haryana,R01,Corporate,2022-05-02,Referral
C00270,Customer 00270,Female,23,Delhi,Delhi,R07,Small Business,2023-03-11,Partner
C00271,Customer 00271,Male,18,Delhi,Delhi,R07,Enterprise,2024-09-06,Email
C00272,Customer 00272,Male,54,Ludhiana,Punjab,R01,Small Business,2023-03-08,Referral
C00273,Customer 00273,Male,41,Delhi,Delhi,R07,Corporate,2024-08-12,Partner
C00274,Customer 00274,Female,18,Coimbatore,Tamil Nadu,R02,Consumer,2025-08-04,Partner
C00275,Customer 00275,Female,21,Kolkata,West Bengal,R03,Enterprise,2025-04-15,Email
C00276,Customer 00276,Female,41,Pune,Maharashtra,R04,Consumer,2023-12-17,Social
C00277,Customer 00277,Female,26,Nagpur,Maharashtra,R04,Consumer,2022-10-26,Email
C00278,Customer 00278,Female,28,Mysuru,Karnataka,R02,Consumer,2023-04-13,Paid Search
C00279,Customer 00279,Male,55,Guwahati,Assam,R06,Consumer,2024-03-16,Partner
C00280,Customer 00280,Female,56,Raipur,Chhattisgarh,R05,Corporate,2024-12-24,Organic
C00281,Customer 00281,Male,36,Delhi,Delhi,R07,Consumer,2025-08-09,Organic
C00282,Customer 00282,Female,33,Amritsar,Punjab,R01,Small Business,2025-05-18,Organic
C00283,Customer 00283,Female,44,Kanpur,Uttar Pradesh,R07,Consumer,2022-11-18,Email
C00284,Customer 00284,Male,29,Kanpur,Uttar Pradesh,R07,Consumer,2022-06-11,Paid Search
C00285,Customer 00285,Male,18,Coimbatore,Tamil Nadu,R02,Consumer,2022-07-02,Referral
C00286,Customer 00286,Female,18,Ahmedabad,Gujarat,R04,Consumer,2022-11-17,Social
C00287,Customer 00287,Male,34,Delhi,Delhi,R07,Small Business,2023-05-19,Paid Search
C00288,Customer 00288,Male,44,Mumbai,Maharashtra,R04,Consumer,2022-03-02,Partner
C00289,Customer 00289,Female,35,Bengaluru,Karnataka,R02,Consumer,2025-11-11,Paid Search
C00290,Customer 00290,Male,43,Delhi,Delhi,R07,Consumer,2023-05-23,Social
C00291,Customer 00291,Male,44,Bhopal,Madhya Pradesh,R05,Small Business,2022-08-18,Email
C00292,Customer 00292,Female,49,Delhi,Delhi,R07,Enterprise,2024-02-17,Organic
C00293,Customer 00293,Male,37,Kochi,Kerala,R02,Corporate,2022-06-24,Paid Search
C00294,Customer 00294,Male,38,Delhi,Delhi,R07,Corporate,2025-05-30,Organic
