product_id,product_name,category,subcategory,brand,unit_cost,standard_price,supplier_id,launch_date
P00082,Office Supplies Product 0082,Office Supplies,Paper,Prime,377.29,483.97,S0115,2022-06-02
P00083,Home Appliances Product 0083,Home Appliances,Small Appliances,Vertex,1501.44,1593.23,S0106,2024-05-27
P00084,Electronics Product 0084,Electronics,Accessories,ValueMax,272.11,426.65,S0207,2022-09-09
P00085,Electronics Product 0085,Electronics,Audio,HomePro,624.27,884.62,S0157,2024-10-09
P00086,Electronics Product 0086,Electronics,Audio,TechOne,458.12,601.69,S0058,2024-01-09
P00087,Clothing Product 0087,Clothing,Women,Prime,1810.86,2190.69,S0292,2024-03-14
P00088,Office Supplies Product 0088,Office Supplies,Printing,Prime,533.8,608.68,S0220,2023-12-02
P00089,Electronics Product 0089,Electronics,Accessories,Prime,2335.26,3300.2,S0142,2025-08-12
P00090,Office Supplies Product 0090,Office Supplies,Printing,HomePro,533.72,938.57,S0015,2022-04-12
P00091,Electronics Product 0091,Electronics,Audio,Vertex,444.76,626.7,S0275,2025-11-28
P00092,Clothing Product 0092,Clothing,Men,ValueMax,297.53,342.67,S0224,2022-01-12
P00093,Office Supplies Product 0093,office supplies,Paper,Vertex,1093.62,1545.78,S0139,2021-09-10
P00094,Office Supplies Product 0094,Office Supplies,Paper,Prime,2160.0,2937.44,S0049,2025-02-17
P00095,Furniture Product 0095,Furniture,Home Office,Urbanix,1015.07,1577.19,S0033,2025-06-24
P00096,Clothing Product 0096,Clothing,Kids,HomePro,7535.84,11258.84,S0087,2021-06-19
P00097,Furniture Product 0097,Furniture,Storage,HomePro,4812.84,5013.37,S0070,2023-12-31
P00098,Electronics Product 0098,Electronics,Laptops,ValueMax,595.98,882.31,S0063,2023-07-25
P00099,Electronics Product 0099,Electronics,Accessories,TechOne,724.98,873.1,S0123,2022-02-06
P00100,Accessories Product 0100,Accessories,Watches,Vertex,1674.06,1919.41,S0014,2023-08-09
P00101,Accessories Product 0101,Accessories,Bags,Vertex,388.71,519.08,S0098,2024-06-05
P00102,Clothing Product 0102,Clothing,Footwear,ValueMax,2653.7,3852.07,S0262,2023-11-14
P00103,Furniture Product 0103,Furniture,Chairs,Prime,1540.27,1722.75,S0260,2023-08-07
P00104,Accessories Product 0104,Accessories,Bags,Nova,1022.82,1550.81,S0003,2025-06-05
P00105,Home Appliances Product 0105,Home Appliances,Kitchen,TechOne,1559.11,2385.18,S0204,2022-02-16
P00106,Clothing Product 0106,Clothing,Women,HomePro,4874.34,6720.43,S0298,2024-02-13
P00107,Office Supplies Product 0107,Office Supplies,Stationery,Nova,1162.85,1423.73,S0174,2022-08-01
P00108,Furniture Product 0108,Furniture,Home Office,TechOne,887.33,1071.74,S0118,2025-11-12
P00109,Electronics Product 0109,Electronics,Audio,Apex,3403.76,5425.13,S0148,2022-04-05
P00110,Accessories Product 0110,Accessories,Watches,Apex,2782.4,3157.79,S0064,2025-05-10
P00111,Office Supplies Product 0111,Office Supplies,Stationery,TechOne,542.82,870.53,S0120,2024-02-28
P00112,Electronics Product 0112,Electronics,Mobiles,Prime,900.48,1206.24,S0282,2022-01-27
P00113,Furniture Product 0113,Furniture,Chairs,Prime,1079.0,1458.93,S0184,2024-10-16
P00114,Clothing Product 0114,Clothing,Footwear,Apex,1552.2,1723.12,S0130,2022-03-17
P00115,Electronics Product 0115,Electronics,Mobiles,Vertex,230.13,309.04,S0038,2022-04-24
P00116,Home Appliances Product 0116,Home Appliances,Cleaning,Vertex,171.59,256.62,S0272,2022-09-22
P00117,Home Appliances Product 0117,Home Appliances,Kitchen,TechOne,426.7,494.07,S0049,2024-05-29
P00118,Clothing Product 0118,Clothing,Men,Vertex,311.03,457.3,S0217,2022-12-16
P00119,Office Supplies Product 0119,Office Supplies,Stationery,Apex,454.54,630.34,S0091,2023-11-05
P00120,Clothing Product 0120,Clothing,Men,Urbanix,1798.28,2263.77,S0084,2023-10-07
P00121,Clothing Product 0121,Clothing,Kids,Vertex,653.22,1013.48,S0052,2021-12-25
P00122,Clothing Product 0122,Clothing,Footwear,Apex,1387.72,1460.41,S0113,2022-03-01
P00123,Electronics Product 0123,Electronics,Accessories,TechOne,245.28,352.75,S0204,2022-07-14
P00124,Office Supplies Product 0124,Office Supplies,Paper,Prime,429.62,756.3,S0125,2022-02-10
P00125,Electronics Product 0125,Electronics,Accessories,Vertex,1265.1,2158.86,S0008,2025-08-04
P00126,Office Supplies Product 0126,Office Supplies,Writing,Vertex,1503.33,2175.53,S0080,2022-11-28
P00127,Furniture Product 0127,Furniture,Chairs,Vertex,441.99,581.44,S0049,2023-01-09
P00128,Electronics Product 0128,Electronics,Laptops,ValueMax,1119.39,1410.56,S0121,2024-05-11
P00129,Electronics Product 0129,Electronics,Audio,Urbanix,8224.5,10817.55,S0271,2024-12-09
P00130,Clothing Product 0130,Clothing,Women,Urbanix,796.6,1179.07,S0289,2024-06-09
P00131,Electronics Product 0131,Electronics,Laptops,Nova,486.42,599.98,S0300,2023-10-03
P00132,Accessories Product 0132,Accessories,Travel,Prime,659.88,1008.6,S0034,2025-11-17
P00133,Clothing Product 0133,Clothing,Kids,ValueMax,679.89,1315.87,S0147,2025-07-01
P00134,Furniture Product 0134,Furniture,Storage,Prime,759.48,1031.64,S0014,2022-01-05
P00135,Clothing Product 0135,Clothing,Footwear,HomePro,1005.31,1162.96,S0149,2021-10-20
P00136,Electronics Product 0136,Electronics,Accessories,Vertex,244.94,283.34,S0174,2022-12-18
P00137,Accessories Product 0137,Accessories,Travel,Vertex,298.94,458.26,S0233,2025-03-05
P00138,Office Supplies Product 0138,Office Supplies,Paper,HomePro,760.66,1033.54,S0101,2025-10-27
P00139,Home Appliances Product 0139,Home Appliances,Small Appliances,Nova,653.36,1017.2,S0011,2024-07-06
P00140,Electronics Product 0140,Electronics,Audio,Prime,533.64,681.22,S0137,2024-06-13
P00141,Office Supplies Product 0141,Office Supplies,Writing,Urbanix,650.38,1005.32,S0129,2022-03-03
P00142,Office Supplies Product 0142,Office Supplies,Printing,Nova,951.31,1275.5,S0188,2023-12-17
P00143,Accessories Product 0143,Accessories,Bags,Apex,2345.84,2920.44,S0030,2021-12-03
P00144,Clothing Product 0144,Clothing,Women,ValueMax,836.84,1086.66,S0184,2023-09-12
P00145,Office Supplies Product 0145,Office Supplies,Stationery,Nova,1519.77,1788.58,S0121,2021-12-20
P00146,Furniture Product 0146,Furniture,Desks,TechOne,370.78,698.18,S0222,2021-05-18
P00147,Furniture Product 0147,Furniture,Desks,Apex,1572.74,2126.37,S0296,2025-11-01
P00148,Office Supplies Product 0148,Office Supplies,Printing,HomePro,1162.89,1747.27,S0069,2025-06-19
P00149,Office Supplies Product 0149,Office Supplies,Printing,Nova,2235.34,2852.34,S0227,2024-06-04
P00150,Electronics Product 0150,Electronics,Mobiles,TechOne,2045.6,2449.25,S0039,2024-02-16
P00151,Home Appliances Product 0151,Home Appliances,Cleaning,Nova,1628.86,2162.05,S0296,2022-03-14
P00152,Accessories Product 0152,Accessories,Personal Accessories,ValueMax,674.13,1087.52,S0145,2023-11-10
P00153,Electronics Product 0153,Electronics,Accessories,HomePro,1198.96,1533.05,S0224,2024-09-27
P00154,Office Supplies Product 0154,Office Supplies,Printing,Urbanix,2839.93,3475.82,S0234,2023-09-12
P00155,Electronics Product 0155,Electronics,Laptops,Nova,446.65,625.16,S0183,2022-05-30
P00156,Clothing Product 0156,Clothing,Men,Apex,435.35,640.13,S0116,2022-12-17
P00157,Furniture Product 0157,Furniture,Storage,Nova,813.91,1438.72,S0227,2025-03-15
P00158,Clothing Product 0158,Clothing,Women,Apex,1262.65,1817.75,S0143,2022-04-10
P00159,Clothing Product 0159,Clothing,Men,TechOne,350.34,526.35,S0198,2025-10-21
P00160,Home Appliances Product 0160,Home Appliances,Kitchen,Urbanix,732.8,1113.56,S0184,2024-10-10
P00161,Electronics Product 0161,Electronics,Mobiles,Vertex,923.36,1092.34,S0140,2025-06-13
P00162,Accessories Product 0162,Accessories,Watches,Vertex,108.21,130.95,S0036,2023-07-19
P00163,Furniture Product 0163,Furniture,Storage,Vertex,807.71,963.41,S0088,2022-02-13
P00164,Electronics Product 0164,Electronics,Laptops,Nova,885.07,1025.32,S0282,2021-03-03
P00165,Office Supplies Product 0165,Office Supplies,Writing,Vertex,664.94,1022.27,S0157,2023-09-04
P00166,Furniture Product 0166,Furniture,Storage,HomePro,3465.93,4944.3,S0191,2022-12-30
P00167,Home Appliances Product 0167,Home Appliances,Cleaning,Urbanix,256.88,355.77,S0078,2021-07-27
P00168,Home Appliances Product 0168,Home Appliances,Kitchen,TechOne,505.04,526.08,S0212,2025-08-22
P00169,Furniture Product 0169,Furniture,Storage,TechOne,52.45,100.0,S0147,2025-11-06
P00170,Accessories Product 0170,Accessories,Personal Accessories,TechOne,607.9,741.86,S0066,2022-11-14
P00171,Furniture Product 0171,Furniture,Desks,Apex,424.0,807.9,S0044,2024-05-04
P00172,Office Supplies Product 0172,Office Supplies,Paper,Urbanix,630.48,720.61,S0119,2023-01-25
P00173,Furniture Product 0173,Furniture,Storage,ValueMax,2947.06,3632.78,S0170,2023-06-26
P00174,Accessories Product 0174,Accessories,Watches,Vertex,2696.47,2837.54,S0085,2024-02-13
P00175,Electronics Product 0175,Electronics,Mobiles,Prime,899.95,1297.16,S0074,2023-01-30
P00176,Electronics Product 0176,Electronics,Mobiles,Prime,695.93,828.37,S0081,2025-01-03
P00177,Office Supplies Product 0177,Office Supplies,Paper,HomePro,2803.7,3348.5,S0089,2021-12-12
P00178,Accessories Product 0178,Accessories,Personal Accessories,Apex,1020.34,1176.52,S0222,2024-05-04
P00179,Accessories Product 0179,Accessories,Watches,TechOne,345.33,529.43,S0150,2025-11-30
P00180,Home Appliances Product 0180,Home Appliances,Cleaning,ValueMax,142.11,215.69,S0141,2025-04-01
P00181,Accessories Product 0181,Accessories,Personal Accessories,Prime,423.58,771.83,S0049,2021-03-25
P00182,Accessories Product 0182,Accessories,Watches,TechOne,2038.13,2552.22,S0164,2021-07-27
P00183,Office Supplies Product 0183,Office Supplies,Stationery,Vertex,8278.95,11691.48,S0289,2025-08-15
P00184,Furniture Product 0184,Furniture,Home Office,ValueMax,1096.22,1276.26,S0224,2025-03-21
P00185,Home Appliances Product 0185,Home Appliances,Kitchen,Vertex,426.19,558.2,S0135,2025-07-08
P00186,Clothing Product 0186,Clothing,Kids,TechOne,286.88,366.91,S0093,2021-10-01
P00187,Furniture Product 0187,Furniture,Desks,Prime,1424.51,2083.97,S0106,2023-08-06
P00188,Electronics Product 0188,Electronics,Laptops,ValueMax,129.12,205.5,S0009,2024-08-17
P00189,Home Appliances Product 0189,Home Appliances,Kitchen,Vertex,1312.65,2080.62,S0009,2024-02-15
P00190,Furniture Product 0190,Furniture,Home Office,Prime,2213.52,2718.37,S0233,2024-11-19
P00191,Accessories Product 0191,Accessories,Watches,ValueMax,1169.77,1856.33,S0253,2022-01-24
P00192,Furniture Product 0192,Furniture,Desks,Nova,707.49,963.35,S0291,2023-04-15
P00193,Electronics Product 0193,Electronics,Audio,Urbanix,1609.71,2111.21,S0188,2025-09-12
P00194,Home Appliances Product 0194,Home Appliances,Kitchen,Nova,1140.17,1423.7,S0279,2022-01-05
P00195,Electronics Product 0195,Electronics,Audio,Urbanix,433.18,551.12,S0125,2022-08-19
P00196,Electronics Product 0196,Electronics,Mobiles,Prime,4243.25,7634.93,S0077,2021-02-10
P00197,Clothing Product 0197,Clothing,Kids,Apex,590.32,844.21,S0074,2021-10-04
P00198,Home Appliances Product 0198,Home Appliances,Kitchen,Urbanix,1857.35,2606.67,S0071,2025-11-26
P00199,Electronics Product 0199,Electronics,Accessories,Vertex,80.8,106.85,S0224,2025-03-28
P00200,Furniture Product 0200,Furniture,Chairs,Vertex,2087.6,4300.76,S0003,2022-04-18
P00201,Home Appliances Product 0201,Home Appliances,Cooling,ValueMax,3124.97,5212.63,S0284,2024-07-05
P00202,Accessories Product 0202,Accessories,Personal Accessories,ValueMax,991.68,1236.34,S0233,2023-12-19
P00203,Office Supplies Product 0203,Office Supplies,Paper,Vertex,1589.12,2098.23,S0115,2025-07-13
P00204,Electronics Product 0204,Electronics,Laptops,Vertex,1576.26,2097.69,S0211,2022-07-02
P00205,Electronics Product 0205,Electronics,Mobiles,Nova,451.42,630.99,S0041,2025-12-20
P00206,Furniture Product 0206,Furniture,Home Office,ValueMax,1659.4,2073.93,S0130,2022-11-08
P00207,Electronics Product 0207,Electronics,Accessories,HomePro,366.77,534.56,S0033,2024-08-01
P00208,Clothing Product 0208,Clothing,Footwear,TechOne,381.77,652.83,S0034,2022-12-27
P00209,Electronics Product 0209,Electronics,Laptops,Urbanix,3190.01,3703.45,S0002,2024-05-10
P00210,Office Supplies Product 0210,Office Supplies,Writing,HomePro,2680.41,3180.31,S0239,2022-09-04
P00211,Clothing Product 0211,clothing,Men,Nova,460.86,592.12,S0224,2025-03-20
P00212,Clothing Product 0212,Clothing,Kids,HomePro,445.82,576.23,S0268,2024-03-09
P00213,Electronics Product 0213,Electronics,Mobiles,Apex,333.58,629.22,S0295,2022-06-12
P00214,Home Appliances Product 0214,Home Appliances,Cooling,Urbanix,1572.48,2496.68,S0290,2025-10-20
P00215,Clothing Product 0215,Clothing,Kids,HomePro,280.58,441.46,S0298,2024-07-18
P00216,Clothing Product 0216,,Footwear,HomePro,1296.8,1714.35,S0005,2023-02-22
P00217,Electronics Product 0217,Electronics,Mobiles,Prime,1921.16,2532.4,S0236,2021-09-05
P00218,Electronics Product 0218,Electronics,Mobiles,Vertex,961.5,1098.64,S0217,2025-11-12
P00219,Accessories Product 0219,Accessories,Personal Accessories,Nova,2147.72,3294.93,S0049,2024-10-09
P00220,Office Supplies Product 0220,Office Supplies,Stationery,ValueMax,602.7,885.16,S0042,2024-05-03
P00221,Furniture Product 0221,Furniture,Chairs,Urbanix,582.73,968.96,S0294,2025-03-01
P00222,Office Supplies Product 0222,Office Supplies,Writing,Urbanix,339.2,451.62,S0265,2024-01-14
P00223,Clothing Product 0223,Clothing,Footwear,HomePro,2469.52,3318.45,S0099,2022-02-28
P00224,Accessories Product 0224,Accessories,Personal Accessories,Urbanix,397.53,557.55,S0023,2022-03-09
P00225,Furniture Product 0225,Furniture,Home Office,Prime,1090.97,1702.49,S0101,2021-05-25
P00226,Accessories Product 0226,Accessories,Bags,HomePro,979.98,1117.4,S0002,2021-04-25
P00227,Electronics Product 0227,Electronics,Mobiles,Apex,274.87,418.76,S0207,2024-08-22
P00228,Office Supplies Product 0228,Office Supplies,Writing,HomePro,477.74,652.61,S0115,2025-04-04
P00229,Clothing Product 0229,Clothing,Women,Nova,3998.44,4783.6,S0015,2021-10-27
P00230,Electronics Product 0230,Electronics,Laptops,Prime,1377.76,1468.11,S0294,2023-11-14
P00231,Electronics Product 0231,Electronics,Laptops,Prime,325.29,437.43,S0248,2021-08-15
P00232,Office Supplies Product 0232,Office Supplies,Printing,HomePro,953.03,1628.48,S0272,2023-01-27
P00233,Accessories Product 0233,Accessories,Personal Accessories,Vertex,583.27,1036.87,S0300,2024-12-14
P00234,Clothing Product 0234,Clothing,Women,Vertex,26357.44,37953.74,S0005,2025-01-21
P00235,Accessories Product 0235,Accessories,Watches,TechOne,851.9,1595.91,S0233,2025-09-28
P00236,Home Appliances Product 0236,Home Appliances,Kitchen,HomePro,602.21,820.12,S0237,2022-07-21
P00237,Office Supplies Product 0237,Office Supplies,Printing,TechOne,3150.93,4964.68,S0235,2025-09-28
P00238,Home Appliances Product 0238,Home Appliances,Kitchen,Urbanix,147.57,190.38,S0080,2024-12-01
P00239,Electronics Product 0239,Electronics,Accessories,ValueMax,1030.5,1318.69,S0118,2022-09-10
P00240,Electronics Product 0240,Electronics,Laptops,Urbanix,7034.25,8817.6,S0279,2022-08-22
P00241,Home Appliances Product 0241,Home Appliances,Cleaning,HomePro,1000.04,1068.36,S0020,2021-07-16
P00242,Home Appliances Product 0242,Home Appliances,Cleaning,Vertex,127.5,212.04,S0193,2025-08-08
P00243,Furniture Product 0243,Furniture,Home Office,ValueMax,641.42,807.67,S0238,2022-01-07
P00244,Office Supplies Product 0244,Office Supplies,Stationery,Urbanix,4163.25,5138.9,S0240,2022-05-05
P00245,Clothing Product 0245,Clothing,Women,TechOne,1482.18,1747.86,S0180,2023-01-24
P00246,Home Appliances Product 0246,Home Appliances,Cleaning,Urbanix,389.21,518.65,S0231,2021-09-09
P00247,Clothing Product 0247,Clothing,Women,TechOne,334.83,604.76,S0273,2025-01-10
P00248,Office Supplies Product 0248,Office Supplies,Stationery,Prime,356.97,685.66,S0230,2024-06-28
P00249,Furniture Product 0249,Furniture,Home Office,Nova,1543.12,1722.06,S0035,2021-10-13
P00250,Office Supplies Product 0250,Office Supplies,Paper,Vertex,3501.6,4574.59,S0074,2021-10-25
P00251,Clothing Product 0251,Clothing,Women,HomePro,2864.94,3437.5,S0092,2021-02-10
P00252,Home Appliances Product 0252,Home Appliances,Cleaning,Vertex,1195.0,1893.32,S0103,2025-09-29
P00253,Office Supplies Product 0253,Office Supplies,Printing,Urbanix,222.22,316.85,S0109,2023-03-07
P00254,Furniture Product 0254,Furniture,Desks,Apex,252.41,318.03,S0066,2024-04-11
P00255,Furniture Product 0255,Furniture,Desks,Urbanix,1478.27,2045.36,S0205,2021-10-01
P00256,Home Appliances Product 0256,Home Appliances,Cleaning,Vertex,243.04,312.5,S0034,2022-02-26
P00257,Home Appliances Product 0257,Home Appliances,Cleaning,Apex,544.51,957.68,S0237,2023-09-16
P00258,Electronics Product 0258,Electronics,Laptops,HomePro,1098.43,1626.57,S0198,2022-01-17
P00259,Electronics Product 0259,Electronics,Audio,HomePro,255.07,384.71,S0289,2024-01-24
P00260,Clothing Product 0260,Clothing,Men,ValueMax,413.64,430.87,S0002,2025-08-14
P00261,Electronics Product 0261,Electronics,Laptops,Nova,700.0,1092.21,S0089,2022-07-11
P00262,Home Appliances Product 0262,Home Appliances,Kitchen,Prime,1035.9,1985.7,S0270,2024-01-15
P00263,Furniture Product 0263,Furniture,Desks,Vertex,2072.28,3468.91,S0149,2025-07-30
P00264,Electronics Product 0264,Electronics,Accessories,ValueMax,2014.21,2202.02,S0169,2025-06-20
P00265,Accessories Product 0265,Accessories,Personal Accessories,Apex,983.44,1291.72,S0009,2021-01-15
P00266,Electronics Product 0266,Electronics,Accessories,Nova,483.74,569.0,S0229,2021-07-21
P00267,Furniture Product 0267,Furniture,Desks,HomePro,229.84,411.24,S0076,2025-12-05
P00268,Electronics Product 0268,Electronics,Accessories,Nova,507.98,719.96,S0289,2025-08-16
P00269,Electronics Product 0269,Electronics,Laptops,Urbanix,1458.71,1808.06,S0113,2022-08-11
P00270,Electronics Product 0270,Electronics,Audio,HomePro,1220.84,1680.25,S0057,2023-08-08
P00271,Electronics Product 0271,Electronics,Accessories,Apex,141.08,146.96,S0179,2023-11-12
P00272,Electronics Product 0272,,Audio,TechOne,458.63,546.97,S0144,2024-05-04
P00273,Electronics Product 0273,Electronics,Accessories,Apex,2906.98,4002.14,S0142,2024-10-01
P00274,Clothing Product 0274,Clothing,Women,TechOne,838.37,1298.92,S0285,2022-11-12
P00275,Clothing Product 0275,Clothing,Men,Apex,268.86,290.93,S0110,2025-06-13
P00276,Office Supplies Product 0276,office supplies,Printing,Nova,9721.38,12656.14,S0120,2021-04-18
P00277,Furniture Product 0277,Furniture,Chairs,Nova,733.31,1165.77,S0188,2021-03-01
P00278,Office Supplies Product 0278,Office Supplies,Printing,TechOne,1542.32,1762.36,S0052,2025-10-15
