order_id,order_date,customer_id,region_id,channel_id,payment_method,order_status
ORD0000059,2024-05-21,C03613,R02,CH03,Credit Card,Completed
ORD0000060,2024-04-26,C04914,R02,CH03,Credit Card,Returned
ORD0000061,2025-09-18,C04926,R04,CH01,COD,Completed
ORD0000062,2025-03-02,C06596,R04,CH04,Wallet,Completed
ORD0000063,2025-06-06,C07675,R04,CH01,Debit Card,Completed
ORD0000064,2025-11-25,C06589,R05,CH01,Debit Card,Completed
ORD0000065,2025-08-15,C08888,R02,CH03,Credit Card,Completed
ORD0000066,2025-05-25,C00720,R02,CH02,COD,Completed
ORD0000067,2025-05-30,C09586,R05,CH01,Credit Card,Completed
ORD0000068,2024-10-22,C03445,R06,CH02,Debit Card,Completed
ORD0000069,2024-02-01,C06461,R07,CH03,Debit Card,Completed
ORD0000070,2025-01-27,C03762,R04,CH01,COD,Pending
ORD0000071,2024-08-04,C07949,R01,CH01,UPI,Completed
ORD0000072,2024-12-30,C01799,R02,CH03,UPI,Completed
ORD0000073,2026-02-02,C04933,R03,CH01,Debit Card,Completed
ORD0000074,2024-08-25,C05405,R02,CH04,Debit Card,Completed
ORD0000075,2024-02-29,C01396,R01,CH03,UPI,Completed
ORD0000076,2024-10-07,C07621,R04,CH01,UPI,Completed
ORD0000077,2024-10-16,C03161,R01,CH02,UPI,Completed
ORD0000078,2025-09-11,C09546,R01,CH02,Net Banking,Completed
ORD0000079,2025-05-28,C01385,R02,CH01,Credit Card,Completed
ORD0000080,2025-12-07,C05883,R03,CH01,UPI,Completed
ORD0000081,2025-09-14,C00090,R02,CH02,UPI,Returned
ORD0000082,2024-12-29,C06786,R02,CH01,UPI,Completed
ORD0000083,2025-12-27,C00374,R04,CH03,Wallet,Completed
ORD0000084,2024-06-18,C09361,R01,CH01,COD,Completed
ORD0000085,2024-01-24,C01109,R01,CH01,Wallet,Completed
ORD0000086,2024-04-01,C05993,R03,CH04,UPI,Completed
ORD0000087,2025-10-28,C02058,R02,CH03,UPI,Completed
ORD0000088,2025-02-21,C05614,R02,CH03,Cash,Returned
ORD0000089,2024-06-12,C00767,R01,CH01,Wallet,Completed
ORD0000090,2025-04-02,C07717,R02,CH01,COD,Completed
ORD0000091,2024-06-02,C06725,R04,CH01,COD,Completed
ORD0000092,2025-10-11,C05551,R01,CH01,Credit Card,Completed
ORD0000093,2025-02-05,C06570,R02,CH03,Debit Card,Completed
ORD0000094,2024-12-12,C03310,R07,CH01,Net Banking,Completed
ORD0000095,2024-10-21,C08371,R04,CH02,UPI,Completed
ORD0000096,2025-08-10,C04357,R02,CH03,COD,Completed
ORD0000097,2024-11-29,C09136,R03,CH01,UPI,Completed
ORD0000098,2024-03-29,C07609,R04,CH01,UPI,Completed
ORD0000099,2024-04-29,C04602,R02,CH03,UPI,Completed
ORD0000100,2026-05-24,C05550,R04,CH02,Net Banking,Completed
ORD0000101,2026-03-30,C01120,R06,CH02,UPI,Completed
ORD0000102,2025-10-13,C06226,R01,CH01,Wallet,Completed
ORD0000103,2024-09-26,C05545,R02,CH01,Wallet,Completed
ORD0000104,2026-05-30,C05798,R02,CH03,Credit Card,Completed
ORD0000105,2025-12-04,C01204,R03,CH02,UPI,Pending
ORD0000106,2025-10-24,C03680,R07,CH03,Net Banking,Completed
ORD0000107,2025-02-08,C02510,R02,CH01,UPI,Completed
ORD0000108,2024-10-01,C02911,R03,CH02,UPI,Completed
ORD0000109,2024-04-07,C04518,R01,CH01,Credit Card,Completed
ORD0000110,2026-03-25,C00792,R04,CH01,Debit Card,Completed
ORD0000111,2025-02-15,C02124,R01,CH02,UPI,Completed
ORD0000112,2024-07-24,C03814,R07,CH03,COD,Completed
ORD0000113,2024-10-24,C06663,R01,CH01,Debit Card,Completed
ORD0000114,2025-06-20,C05506,R04,CH02,Wallet,Completed
ORD0000115,2024-06-27,C06920,R02,CH04,COD,Completed
ORD0000116,2026-02-06,C07611,R03,CH01,Wallet,Partially Returned
ORD0000117,2025-11-21,C07504,R04,CH03,Debit Card,Completed
ORD0000118,2025-10-26,C00918,R01,CH01,Credit Card,Partially Returned
ORD0000119,2025-01-22,C00740,R04,CH01,UPI,Completed
ORD0000120,2025-08-07,C03477,R05,CH03,Net Banking,Completed
ORD0000121,2025-06-25,C06220,R04,CH01,Net Banking,Completed
ORD0000122,2025-08-30,C01118,R03,CH02,UPI,Completed
ORD0000123,2024-03-26,C00975,R04,CH03,COD,Completed
ORD0000124,2025-01-05,C08838,R03,CH02,Wallet,Completed
ORD0000125,2024-02-12,C09032,R02,CH01,UPI,Completed
ORD0000126,2025-03-26,C08050,R03,CH01,Net Banking,Completed
ORD0000127,2024-11-08,C03577,R05,CH02,COD,Completed
ORD0000128,2024-05-26,C05118,R03,CH02,UPI,Completed
ORD0000129,2024-04-14,C03263,R07,CH01,COD,Pending
ORD0000130,2025-06-28,C01239,R01,CH01,UPI,Partially Returned
ORD0000131,2024-06-21,C04850,R03,CH02,UPI,Completed
ORD0000132,2026-04-16,C07966,R05,CH03,Debit Card,Completed
ORD0000133,2025-06-22,C04127,R02,CH03,UPI,Completed
ORD0000134,2024-11-20,C04714,R02,CH01,Net Banking,Pending
ORD0000135,2025-07-01,C04304,R04,CH01,Debit Card,Completed
ORD0000136,2024-01-24,C05252,R07,CH01,Debit Card,Completed
ORD0000137,2026-05-20,C06016,R07,CH02,UPI,Completed
ORD0000138,2025-03-14,C02472,R05,CH03,Credit Card,Returned
ORD0000139,2025-12-06,C05770,R03,CH01,Debit Card,Partially Returned
ORD0000140,2024-03-25,C01687,R02,CH04,UPI,Completed
ORD0000141,2025-03-19,C01488,R04,CH03,COD,Completed
ORD0000142,2025-03-23,C03170,R02,CH01,UPI,Completed
ORD0000143,2026-04-29,C07669,R02,CH01,COD,Completed
ORD0000144,2025-06-12,C01168,R02,CH01,Wallet,Completed
ORD0000145,2025-03-05,C02307,R02,CH02,Credit Card,Completed
ORD0000146,2024-09-27,C08704,R04,CH02,UPI,Completed
ORD0000147,2024-11-09,C01403,R03,CH01,UPI,Completed
ORD0000148,2025-04-22,C09734,R01,CH02,Net Banking,Completed
ORD0000149,2025-01-29,C09397,R02,CH04,COD,Completed
ORD0000150,2024-01-23,C09985,R02,CH03,Wallet,Completed
ORD0000151,2026-01-06,C06259,R02,CH03,Credit Card,Completed
ORD0000152,2026-03-18,C01212,R05,CH01,Debit Card,Completed
ORD0000153,2024-05-22,C06709,R02,CH01,Net Banking,Completed
ORD0000154,2025-05-26,C01499,R04,CH03,Credit Card,Completed
ORD0000155,2024-04-20,C04710,R04,CH02,Cash,Completed
ORD0000156,2025-09-22,C00956,R02,CH01,Net Banking,Completed
ORD0000157,2024-10-07,C02731,R07,CH01,COD,Completed
ORD0000158,2025-09-09,C09867,R07,CH03,UPI,Completed
ORD0000159,2025-10-31,C06220,R04,CH01,Credit Card,Completed
ORD0000160,2025-11-27,C03453,R07,CH01,Debit Card,Completed
ORD0000161,2024-04-19,C08451,R02,CH01,UPI,Cancelled
ORD0000162,2026-04-07,C07290,R01,CH02,Wallet,Completed
ORD0000163,2024-08-21,C01420,R03,CH02,COD,Pending
ORD0000164,2024-02-07,C04851,R01,CH04,Wallet,Completed
ORD0000165,2025-05-26,C04481,R04,CH03,COD,Returned
ORD0000166,2024-12-05,C05989,R02,CH02,Credit Card,Completed
ORD0000167,2026-01-10,C02471,R04,CH04,Credit Card,Completed
ORD0000168,2025-12-23,C04083,R03,CH01,COD,Completed
ORD0000169,2024-10-31,C08877,R06,CH03,Net Banking,Completed
ORD0000170,2026-05-14,C05023,R06,CH01,UPI,Completed
ORD0000171,2024-10-14,C05427,R02,CH01,Net Banking,Completed
ORD0000172,2025-04-16,C02014,R04,CH01,COD,Pending
ORD0000173,2024-09-16,C00359,R02,CH01,Net Banking,Completed
ORD0000174,2026-04-27,C09975,R02,CH01,UPI,Completed
ORD0000175,2024-06-15,C05172,R02,CH01,UPI,Completed
ORD0000176,2024-02-15,C00635,R07,CH03,Debit Card,Completed
ORD0000177,2025-01-25,C02746,R03,CH01,Debit Card,Completed
ORD0000178,2026-06-23,C04828,R04,CH02,COD,Completed
ORD0000179,2026-03-13,C07161,R02,CH03,UPI,Completed
ORD0000180,2025-11-14,C01427,R07,CH01,UPI,Completed
ORD0000181,2026-03-12,C02916,R01,CH03,Debit Card,Completed
ORD0000182,2026-03-15,C08932,R01,CH01,Net Banking,Completed
ORD0000183,2025-04-20,C03894,R02,CH03,UPI,Completed
ORD0000184,2024-10-30,C08540,R07,CH01,UPI,Completed
ORD0000185,2025-11-29,C02057,R03,CH02,Debit Card,Completed
ORD0000186,2025-09-11,C00534,R02,CH02,Debit Card,Completed
ORD0000187,2024-12-07,C07327,R03,CH01,Net Banking,Completed
ORD0000188,2024-04-05,C04715,R02,CH02,COD,Completed
ORD0000189,2025-11-13,C05501,R01,CH01,COD,Partially Returned
ORD0000190,2024-09-22,C03270,R01,CH01,COD,Completed
ORD0000191,2026-04-28,C09055,R05,CH03,Debit Card,Completed
ORD0000192,2024-08-31,C01505,R05,CH02,COD,Completed
ORD0000193,2024-05-04,C00701,R07,CH03,Wallet,Completed
ORD0000194,2026-01-11,C09750,R01,CH01,UPI,Completed
ORD0000195,2024-06-03,C09137,R02,CH03,UPI,Completed
ORD0000196,2024-06-30,C03829,R02,CH03,COD,Cancelled
ORD0000197,2025-07-10,C00368,R02,CH02,Wallet,Completed
ORD0000198,2026-02-24,C03719,R02,CH04,COD,Completed
ORD0000199,2024-07-17,C00216,R03,CH02,Debit Card,Completed
ORD0000200,2024-10-27,C05214,R02,CH02,COD,Completed
ORD0000201,2025-12-03,C08280,R04,CH02,Debit Card,Completed
ORD0000202,2026-06-02,C03184,R01,CH01,UPI,Completed
ORD0000203,2025-04-01,C06589,R05,CH01,UPI,Completed
ORD0000204,2024-05-25,C03685,R01,CH03,Wallet,Completed
ORD0000205,2024-01-15,C06126,R04,CH01,Debit Card,Completed
ORD0000206,2024-08-20,C04572,R06,CH04,Wallet,Completed
ORD0000207,2024-05-13,C06548,R02,CH01,Net Banking,Completed
ORD0000208,2025-09-27,C06149,R02,CH01,COD,Completed
ORD0000209,2024-05-03,C00881,R04,CH02,Debit Card,Completed
ORD0000210,2025-04-07,C05240,R02,CH01,Debit Card,Completed
ORD0000211,2025-10-09,C00100,R03,CH01,Credit Card,Completed
ORD0000212,2025-06-22,C10000,R02,CH01,Credit Card,Completed
ORD0000213,2024-07-21,C02878,R04,CH03,Net Banking,Completed
ORD0000214,2025-12-21,C06287,R02,CH02,Credit Card,Completed
ORD0000215,2025-10-23,C03552,R02,CH01,Net Banking,Completed
ORD0000216,2025-11-08,C07271,R05,CH03,Net Banking,Completed
ORD0000217,2024-05-12,C00202,R03,CH03,UPI,Completed
ORD0000218,2024-05-05,C07900,R01,CH01,UPI,Completed
ORD0000219,2026-04-19,C04359,R02,CH01,UPI,Returned
ORD0000220,2024-12-23,C09509,R03,CH01,Debit Card,Partially Returned
ORD0000221,2024-10-20,C06699,R03,CH02,UPI,Partially Returned
ORD0000222,2025-03-21,C03367,R03,CH01,COD,Completed
ORD0000223,2025-09-12,C07518,R02,CH01,UPI,Completed
ORD0000224,2026-05-17,C06709,R02,CH01,Net Banking,Partially Returned
ORD0000225,2024-10-11,C03768,R04,CH01,COD,Completed
ORD0000226,2026-04-16,C05862,R07,CH04,Credit Card,Completed
ORD0000227,2024-01-26,C00804,R02,CH01,Debit Card,Completed
ORD0000228,2025-05-27,C09168,R01,CH01,COD,Completed
ORD0000229,2025-08-14,C01224,R02,CH03,UPI,Partially Returned
ORD0000230,2024-04-17,C07142,R03,CH04,COD,Partially Returned
ORD0000231,2024-05-22,C08942,R01,CH01,Cash,Completed
ORD0000232,2025-01-09,C05937,R07,CH01,Credit Card,Completed
ORD0000233,2026-05-28,C06168,R04,CH03,COD,Completed
ORD0000234,2025-07-07,C03530,R02,CH01,Credit Card,Completed
ORD0000235,2026-04-24,C06472,R02,CH03,Debit Card,Completed
ORD0000236,2025-12-21,C05023,R06,CH01,COD,Completed
ORD0000237,2025-02-27,C00994,R01,CH04,UPI,Completed
ORD0000238,2025-12-08,C04233,R03,CH01,UPI,Completed
ORD0000239,2024-01-19,C02450,R02,CH03,Net Banking,Completed
ORD0000240,2024-04-20,C00353,R02,CH02,COD,Completed
ORD0000241,2026-01-09,C06582,R02,CH01,Credit Card,Completed
ORD0000242,2025-12-16,C01534,R03,CH02,Credit Card,Completed
ORD0000243,2024-08-23,C03902,R05,CH03,Credit Card,Completed
ORD0000244,2025-05-02,C00097,R04,CH02,Net Banking,Completed
ORD0000245,2025-07-17,C07475,R04,CH01,UPI,Completed
ORD0000246,2026-02-17,C01168,R02,CH02,UPI,Completed
ORD0000247,2025-07-14,C06220,R04,CH01,COD,Completed
ORD0000248,2025-01-02,C05062,R01,CH04,UPI,Completed
ORD0000249,2024-12-07,C09761,R06,CH03,UPI,Completed
ORD0000250,2025-01-16,C03034,R07,CH03,Wallet,Completed
ORD0000251,2025-09-01,C03692,R02,CH01,Cash,Completed
ORD0000252,2026-02-17,C00613,R03,CH01,Credit Card,Completed
ORD0000253,2025-02-13,C03803,R04,CH01,UPI,Completed
ORD0000254,2024-09-07,C06573,R02,CH01,Wallet,Completed
ORD0000255,2024-08-27,C05602,R07,CH01,Credit Card,Completed
ORD0000256,2025-11-12,C04241,R03,CH02,Debit Card,Completed
ORD0000257,2025-12-29,C07937,R07,CH01,Debit Card,Completed
ORD0000258,2024-04-16,C00395,R07,CH01,Credit Card,Cancelled
ORD0000259,2024-03-08,C09327,R02,CH01,Wallet,Completed
ORD0000260,2025-07-05,C09845,R01,CH01,UPI,Completed
ORD0000261,2024-05-28,C04994,R04,CH01,UPI,Completed
ORD0000262,2026-01-04,C01876,R05,CH02,Credit Card,Completed
ORD0000263,2024-10-27,C07537,R02,CH03,COD,Completed
ORD0000264,2024-05-25,C03709,R04,CH01,Credit Card,Returned
ORD0000265,2026-04-12,C05482,R07,CH01,Cash,Completed
ORD0000266,2024-06-16,C07881,R01,CH03,Wallet,Returned
ORD0000267,2024-10-10,C04593,R03,CH02,Cash,Completed
ORD0000268,2024-06-04,C02067,R02,CH02,COD,Completed
ORD0000269,2024-04-27,C09241,R01,CH01,Debit Card,Completed
ORD0000270,2024-01-22,C00727,R07,CH02,Net Banking,Completed
ORD0000271,2024-02-26,C04362,R02,CH02,COD,Completed
ORD0000272,2024-06-26,C04204,R02,CH01,Net Banking,Completed
ORD0000273,2024-02-24,C04878,R03,CH02,Net Banking,Completed
ORD0000274,2025-07-02,C04478,R07,CH04,COD,Completed
ORD0000275,2025-09-30,C01661,R01,CH01,UPI,Partially Returned
ORD0000276,2024-12-20,C02408,R01,CH04,Credit Card,Partially Returned
ORD0000277,2024-10-31,C05329,R04,CH01,UPI,Completed
ORD0000278,2025-04-05,C00256,R03,CH02,UPI,Completed
ORD0000279,2026-02-25,C02981,R02,CH03,Debit Card,Completed
ORD0000280,2026-01-31,C00026,R01,CH01,UPI,Completed
ORD0000281,2024-02-14,C03044,R04,CH01,Net Banking,Returned
ORD0000282,2024-07-02,C03063,R07,CH04,COD,Completed
ORD0000283,2024-08-27,C04469,R01,CH01,Debit Card,Completed
ORD0000284,2024-09-09,C07070,R03,CH01,UPI,Completed
ORD0000285,2025-06-12,C05998,R05,CH03,COD,Returned
ORD0000286,2025-01-06,C09026,R02,CH03,COD,Completed
ORD0000287,2024-02-20,C00072,R04,CH02,COD,Completed
ORD0000288,2024-12-07,C04769,R07,CH01,Net Banking,Returned
ORD0000289,2025-04-25,C03527,R01,CH03,Wallet,Completed
ORD0000290,2024-04-13,C09261,R01,CH04,Debit Card,Cancelled
ORD0000291,2026-01-13,C03796,R02,CH02,UPI,Completed
ORD0000292,2024-02-23,C08410,R03,CH01,Wallet,Completed
ORD0000293,2026-04-16,C06552,R07,CH03,Credit Card,Completed
ORD0000294,2024-04-10,C08666,R02,CH02,COD,Completed
ORD0000295,2026-01-24,C02417,R07,CH01,Wallet,Completed
ORD0000296,2026-03-25,C02656,R02,CH02,UPI,Completed
ORD0000297,2026-06-10,C04454,R02,CH01,Wallet,Completed
ORD0000298,2025-12-19,C04336,R07,CH01,Debit Card,Completed
ORD0000299,2025-12-04,C05677,R01,CH03,Cash,Completed
ORD0000300,2025-08-23,C03161,R01,CH02,UPI,Completed
ORD0000301,2025-12-04,C06668,R02,CH03,Credit Card,Completed
ORD0000302,2024-05-16,C02639,R05,CH03,Wallet,Completed
ORD0000303,2025-05-07,C06432,R04,CH02,UPI,Cancelled
ORD0000304,2025-04-15,C03206,R04,CH02,UPI,Completed
ORD0000305,2026-02-07,C07061,R01,CH01,Net Banking,Completed
ORD0000306,2025-02-22,C02732,R01,CH02,Debit Card,Completed
ORD0000307,2024-12-15,C01431,R02,CH01,Credit Card,Completed
ORD0000308,2025-08-20,C04858,R02,CH01,UPI,Completed
ORD0000309,2024-09-26,C02279,R05,CH02,Credit Card,Completed
ORD0000310,2024-05-21,C04087,R02,CH01,Credit Card,Completed
ORD0000311,2025-03-09,C00636,R01,CH01,COD,Completed
ORD0000312,2025-01-07,C08010,R02,CH01,Credit Card,Completed
ORD0000313,2024-08-23,C06195,R07,CH01,Credit Card,Completed
ORD0000314,2024-12-03,C02357,R02,CH03,Wallet,Completed
ORD0000315,2024-12-02,C04079,R01,CH04,COD,Completed
ORD0000316,2024-11-07,C09253,R03,CH01,Credit Card,Completed
ORD0000317,2024-12-11,C02898,R01,CH02,UPI,Completed
ORD0000318,2025-10-04,C02455,R02,CH01,UPI,Completed
ORD0000319,2024-10-18,C04127,R02,CH03,COD,Completed
ORD0000320,2026-05-10,C07494,R01,CH01,UPI,Completed
ORD0000321,2026-04-07,C04575,R05,CH01,Credit Card,Completed
ORD0000322,2025-03-13,C04201,R01,CH02,Credit Card,Completed
ORD0000323,2024-11-07,C04301,R02,CH01,Net Banking,Completed
ORD0000324,2025-05-06,C04479,R05,CH01,UPI,Completed
ORD0000325,2026-01-29,C03418,R03,CH01,UPI,Returned
ORD0000326,2025-09-02,C01477,R04,CH01,UPI,Partially Returned
ORD0000327,2025-12-21,C04130,R02,CH01,COD,Pending
ORD0000328,2025-05-04,C04530,R02,CH01,UPI,Completed
ORD0000329,2025-08-13,C06502,R04,CH02,Net Banking,Completed
ORD0000330,2024-10-12,C08480,R05,CH03,UPI,Completed
ORD0000331,2025-11-05,C09626,R03,CH01,Net Banking,Completed
ORD0000332,2024-07-24,C02096,R04,CH01,Debit Card,Cancelled
ORD0000333,2025-10-10,C09797,R07,CH01,Debit Card,Cancelled
ORD0000334,2026-02-10,C01385,R02,CH03,Credit Card,Completed
ORD0000335,2024-05-13,C08727,R01,CH01,Debit Card,Completed
ORD0000336,2025-07-26,C02472,R05,CH04,Debit Card,Completed
ORD0000337,2024-04-06,C07518,R02,CH01,UPI,Completed
ORD0000338,2025-10-30,C06545,R07,CH01,Debit Card,Completed
ORD0000339,2024-03-26,C01719,R02,CH03,Debit Card,Completed
ORD0000340,2026-04-27,C00215,R03,CH01,UPI,Completed
ORD0000341,2024-05-19,C06817,R02,CH01,UPI,Completed
ORD0000342,2026-05-20,C03889,R02,CH01,Debit Card,Completed
ORD0000343,2025-12-19,C05121,R02,CH04,COD,Completed
ORD0000344,2025-07-04,C01020,R04,CH01,COD,Completed
ORD0000345,2025-12-06,C07853,R02,CH01,Debit Card,Completed
ORD0000346,2025-12-15,C04862,R06,CH01,Credit Card,Completed
ORD0000347,2026-05-07,C06333,R02,CH01,UPI,Returned
ORD0000348,2024-09-13,C00903,R07,CH01,Credit Card,Completed
ORD0000349,2025-07-01,C01041,R07,CH02,Credit Card,Completed
ORD0000350,2024-04-06,C02392,R03,CH02,UPI,Completed
ORD0000351,2025-07-27,C01421,R03,CH01,Wallet,Completed
ORD0000352,2024-06-22,C02695,R06,CH01,Debit Card,Completed
ORD0000353,2025-06-05,C04147,R07,CH03,UPI,Completed
ORD0000354,2025-06-13,C01745,R03,CH01,Wallet,Completed
ORD0000355,2025-02-25,C07364,R05,CH01,COD,Completed
ORD0000356,2025-04-24,C06506,R07,CH03,Credit Card,Completed
ORD0000357,2025-11-24,C04955,R07,CH03,Credit Card,Completed
ORD0000358,2025-12-17,C07803,R04,CH01,Credit Card,Completed
ORD0000359,2025-03-24,C04425,R02,CH02,Wallet,Completed
ORD0000360,2025-07-10,C04524,R05,CH02,UPI,Completed
ORD0000361,2026-04-23,C01583,R04,CH03,COD,Cancelled
ORD0000362,2024-05-01,C04912,R04,CH03,COD,Pending
ORD0000363,2024-04-28,C00887,R04,CH03,UPI,Completed
ORD0000364,2024-03-29,C06862,R02,CH04,Credit Card,Completed
ORD0000365,2025-09-07,C09929,R03,CH03,UPI,Completed
ORD0000366,2025-01-08,C08230,R02,CH02,Credit Card,Completed
ORD0000367,2025-12-01,C06855,R01,CH01,Debit Card,Completed
ORD0000368,2025-09-21,C07901,R04,CH03,Wallet,Completed
ORD0000369,2024-11-11,C07881,R01,CH02,Credit Card,Completed
ORD0000370,2026-03-20,C05935,R01,CH04,UPI,Completed
ORD0000371,2025-11-23,C09343,R05,CH02,COD,Completed
ORD0000372,2024-09-30,C09243,R07,CH01,UPI,Completed
ORD0000373,2024-12-01,C04730,R04,CH03,COD,Completed
ORD0000374,2024-10-29,C07031,R07,CH03,Credit Card,Completed
ORD0000375,2024-06-08,C07443,R03,CH02,UPI,Completed
ORD0000376,2024-05-29,C01204,R03,CH03,Debit Card,Cancelled
ORD0000377,2026-04-27,C08171,R03,CH02,Credit Card,Returned
ORD0000378,2025-01-28,C05208,R02,CH02,COD,Completed
ORD0000379,2024-12-13,C03195,R02,CH03,Net Banking,Completed
ORD0000380,2025-11-01,C04733,R04,CH02,UPI,Completed
ORD0000381,2025-05-25,C08955,R02,CH03,Wallet,Returned
ORD0000382,2026-04-27,C04284,R01,CH02,Credit Card,Completed
ORD0000383,2025-12-05,C08103,R03,CH02,Debit Card,Completed
ORD0000384,2025-03-11,C03968,R01,CH01,Credit Card,Completed
ORD0000385,2024-12-09,C02800,R03,CH02,UPI,Cancelled
ORD0000386,2026-06-17,C00066,R02,CH02,UPI,Completed
ORD0000387,2025-10-25,C00588,R04,CH02,COD,Completed
ORD0000388,2026-05-12,C02579,R01,CH01,Credit Card,Completed
ORD0000389,2024-04-29,C02898,R01,CH01,Wallet,Completed
ORD0000390,2026-01-30,C02487,R03,CH01,Net Banking,Completed
ORD0000391,2025-08-17,C02574,R05,CH01,Debit Card,Completed
ORD0000392,2024-05-03,C04221,R01,CH01,Credit Card,Completed
ORD0000393,2025-06-29,C05678,R02,CH01,UPI,Completed
ORD0000394,2025-10-04,C06601,R07,CH02,UPI,Completed
ORD0000395,2024-01-13,C00800,R03,CH01,Debit Card,Completed
ORD0000396,2025-02-13,C07303,R06,CH03,UPI,Completed
ORD0000397,2026-01-05,C00716,R01,CH01,Debit Card,Completed
ORD0000398,2024-10-17,C03527,R01,CH04,UPI,Partially Returned
ORD0000399,2025-02-18,C04304,R04,CH01,COD,Pending
ORD0000400,2025-02-01,C00895,R03,CH03,COD,Completed
ORD0000401,2024-10-21,C00649,R03,CH02,Net Banking,Completed
ORD0000402,2026-04-09,C03740,R04,CH01,Debit Card,Completed
ORD0000403,2025-12-05,C03654,R01,CH02,UPI,Completed
ORD0000404,2024-04-22,C07798,R06,CH02,COD,Completed
ORD0000405,2026-06-28,C07019,R07,CH03,Wallet,Completed
ORD0000406,2026-02-28,C02513,R01,CH01,UPI,Cancelled
ORD0000407,2024-10-09,C04584,R01,CH04,Credit Card,Completed
ORD0000408,2026-01-17,C08550,R02,CH02,Cash,Completed
ORD0000409,2024-04-17,C05403,R04,CH04,Credit Card,Completed
ORD0000410,2026-06-30,C06794,R02,CH03,Wallet,Completed
