return_id,order_id,product_id,return_date,return_quantity,return_reason,return_status
RET0000142,ORD0011122,P00523,2025-06-23,1,Late Delivery,Approved
RET0000143,ORD0016237,P01751,2026-02-21,2,Damaged,Processed
RET0000144,ORD0118512,P01932,2026-04-01,1,Customer Changed Mind,Processed
RET0000145,ORD0096517,P01225,2026-04-28,1,Customer Changed Mind,Approved
RET0000146,ORD0086998,P00418,2026-05-14,1,Wrong Product,Processed
RET0000147,ORD0062508,P00860,2025-10-23,1,Damaged,Processed
RET0000148,ORD0029040,P00834,2025-01-01,1,Quality Issue,Approved
RET0000149,ORD0065219,P01230,2025-06-07,1,Customer Changed Mind,Approved
RET0000150,ORD0036714,P00829,2026-02-22,1,Customer Changed Mind,Pending
RET0000151,ORD0024184,P00691,2026-04-06,3,Wrong Product,Approved
RET0000152,ORD0007663,P01891,2025-10-17,1,Late Delivery,Approved
RET0000153,ORD0107405,P01827,2024-02-25,1,Customer Changed Mind,Rejected
RET0000154,ORD0031681,P01499,2026-06-29,1,Customer Changed Mind,Rejected
RET0000155,ORD0040278,P00732,2025-10-05,3,Quality Issue,Processed
RET0000156,ORD0020398,P01008,2026-07-17,1,Damaged,Processed
RET0000157,ORD0100898,P00542,2026-03-21,1,Incorrect Size,Approved
RET0000158,ORD0100658,P01051,2026-06-06,1,Damaged,Processed
RET0000159,ORD0025408,P01556,2026-05-12,2,Customer Changed Mind,Approved
RET0000160,ORD0057035,P00717,2025-06-05,1,Wrong Product,Rejected
RET0000161,ORD0050146,P00692,2026-03-13,1,Late Delivery,Approved
RET0000162,ORD0090027,P00101,2025-11-27,1,Wrong Product,Approved
RET0000163,ORD0076881,P00204,2026-04-24,1,Incorrect Size,Approved
RET0000164,ORD0045055,P00793,2026-02-04,2,Customer Changed Mind,Processed
RET0000165,ORD0063475,P00062,2024-12-30,1,Quality Issue,Processed
RET0000166,ORD0107153,P01300,2025-02-14,1,Wrong Product,Processed
RET0000167,ORD0060431,P01134,2026-05-03,1,Damaged,Approved
RET0000168,ORD0047056,P01192,2026-01-18,1,Customer Changed Mind,Approved
RET0000169,ORD0035571,P01985,2026-04-04,1,Late Delivery,Processed
RET0000170,ORD0020746,P01239,2026-08-08,2,Customer Changed Mind,Approved
RET0000171,ORD0046095,P00313,2026-03-02,1,Incorrect Size,Processed
RET0000172,ORD0064267,P00947,2025-07-05,1,Quality Issue,Pending
RET0000173,ORD0044969,P00802,2024-10-31,1,Incorrect Size,Processed
RET0000174,ORD0033036,P01283,2025-08-16,1,Wrong Product,Approved
RET0000175,ORD0100746,P01326,2024-07-11,2,Quality Issue,Processed
RET0000176,ORD0094759,P01167,2025-08-15,1,Late Delivery,Pending
RET0000177,ORD0055330,P00305,2025-12-10,1,Quality Issue,Processed
RET0000178,ORD0003484,P00650,2025-06-08,2,Incorrect Size,Processed
RET0000179,ORD0059575,P00895,2025-01-08,1,Quality Issue,Approved
RET0000180,ORD0018402,P01565,2025-02-11,1,Incorrect Size,Processed
RET0000181,ORD0095513,P00460,2026-02-03,2,Quality Issue,Approved
RET0000182,ORD0080625,P01680,2025-06-26,1,Damaged,Processed
RET0000183,ORD0063752,P01830,2025-05-11,1,Quality Issue,Rejected
RET0000184,ORD0061447,P01793,2025-11-01,3,Customer Changed Mind,Rejected
RET0000185,ORD0102554,P01067,2026-04-14,1,Incorrect Size,Approved
RET0000186,ORD0053509,P00359,2024-10-24,1,Quality Issue,Processed
RET0000187,ORD0094685,P01944,2025-12-15,1,Damaged,Approved
RET0000188,ORD0011326,P01329,2023-01-01,1,Damaged,Approved
RET0000189,ORD0077841,P01577,2025-10-22,1,Damaged,Processed
RET0000190,ORD0058964,P01063,2026-06-28,2,Customer Changed Mind,Processed
RET0000191,ORD0043592,P00442,2025-12-30,1,Damaged,Approved
RET0000192,ORD0012280,P00644,2025-09-24,1,Quality Issue,Processed
RET0000193,ORD0061799,P00679,2025-11-24,1,Late Delivery,Processed
RET0000194,ORD0027397,P01767,2026-02-28,1,Incorrect Size,Processed
RET0000195,ORD0082074,P01063,2025-11-28,1,Wrong Product,Processed
RET0000196,ORD0088327,P00923,2026-05-07,1,Late Delivery,Processed
RET0000197,ORD0094397,P00068,2025-07-07,1,Damaged,Approved
RET0000198,ORD0085562,P00742,2025-06-09,1,Incorrect Size,Approved
RET0000199,ORD0016761,P00103,2026-04-06,1,Wrong Product,Processed
RET0000200,ORD0116771,P01388,2025-08-04,2,Damaged,Processed
RET0000201,ORD0118833,P01550,2026-03-15,2,Wrong Product,Approved
RET0000202,ORD0063592,P00006,2025-11-04,1,Quality Issue,Approved
RET0000203,ORD0015652,P01842,2026-01-02,1,Damaged,Pending
RET0000204,ORD0101469,P01384,2025-06-24,1,Quality Issue,Rejected
RET0000205,ORD0046592,P00847,2024-02-18,1,Quality Issue,Processed
RET0000206,ORD0004446,P01160,2025-03-08,1,Quality Issue,Processed
RET0000207,ORD0036281,P00473,2024-06-21,1,Wrong Product,Pending
RET0000208,ORD0086466,P00269,2026-02-10,1,Damaged,Processed
RET0000209,ORD0072260,P00722,2026-04-16,1,Customer Changed Mind,Approved
RET0000210,ORD0110575,P00949,2026-04-22,1,Wrong Product,Processed
RET0000211,ORD0107626,P01879,2024-05-30,1,Quality Issue,Pending
RET0000212,ORD0097842,P01380,2024-10-11,1,Customer Changed Mind,Processed
RET0000213,ORD0060964,P00182,2025-01-16,2,Customer Changed Mind,Approved
RET0000214,ORD0082923,P00019,2025-12-18,1,Damaged,Pending
RET0000215,ORD0060108,P01175,2026-06-15,1,Late Delivery,Processed
RET0000216,ORD0056373,P01428,2025-11-09,2,Wrong Product,Approved
RET0000217,ORD0077251,P00623,2024-09-23,1,Quality Issue,Pending
RET0000218,ORD0098189,P00196,2025-10-29,3,Damaged,Processed
RET0000219,ORD0118833,P01049,2026-02-12,1,Incorrect Size,Processed
RET0000220,ORD0059679,P00714,2025-12-07,1,Quality Issue,Pending
RET0000221,ORD0029689,P01020,2025-06-18,1,Wrong Product,Approved
RET0000222,ORD0049142,P01365,2025-08-27,3,Damaged,Processed
RET0000223,ORD0108152,P00348,2024-10-30,1,Customer Changed Mind,Approved
RET0000224,ORD0096762,P00512,2025-12-07,1,Damaged,Rejected
RET0000225,ORD0098970,P01037,2024-12-12,1,Wrong Product,Rejected
RET0000226,ORD0010130,P01378,2025-01-15,1,Incorrect Size,Processed
RET0000227,ORD0114928,P01971,2024-03-28,1,Quality Issue,Processed
RET0000228,ORD0067328,P01154,2025-02-01,2,Wrong Product,Processed
RET0000229,ORD0004588,P01367,2026-05-16,1,Late Delivery,Approved
RET0000230,ORD0026454,P00424,2024-02-26,1,Wrong Product,Approved
RET0000231,ORD0113474,P00563,2024-10-06,2,Incorrect Size,Approved
RET0000232,ORD0033135,P00441,2025-09-28,1,Damaged,Rejected
RET0000233,ORD0054052,P00142,2025-04-24,1,Quality Issue,Processed
RET0000234,ORD0102306,P01144,2024-06-05,1,Quality Issue,Processed
RET0000235,ORD0083026,P00824,2024-03-09,1,Damaged,Approved
RET0000236,ORD0054534,P00064,2025-10-22,3,Wrong Product,Processed
RET0000237,ORD0106465,P01143,2025-08-27,3,Customer Changed Mind,Approved
RET0000238,ORD0060953,P01539,2026-04-12,2,Incorrect Size,Pending
RET0000239,ORD0083567,P01518,2026-07-21,1,Late Delivery,Rejected
RET0000240,ORD0041569,P00465,2025-09-25,3,Quality Issue,Processed
RET0000241,ORD0048794,P01762,2026-06-30,1,Quality Issue,Processed
RET0000242,ORD0095083,P00052,2025-07-05,1,Quality Issue,Approved
RET0000243,ORD0002311,P00821,2026-07-21,1,Customer Changed Mind,Approved
RET0000244,ORD0016790,P00682,2024-10-04,1,Late Delivery,Processed
RET0000245,ORD0110974,P00170,2026-02-03,1,Quality Issue,Processed
RET0000246,ORD0018155,P01984,2025-04-06,1,Wrong Product,Approved
RET0000247,ORD0000233,P01705,2026-06-29,1,Incorrect Size,Approved
RET0000248,ORD0024131,P01826,2026-04-21,1,Damaged,Processed
RET0000249,ORD0048079,P00483,2025-12-24,1,Wrong Product,Approved
RET0000250,ORD0074786,P01025,2025-10-27,2,Quality Issue,Approved
RET0000251,ORD0116357,P00540,2026-06-01,2,Customer Changed Mind,Processed
RET0000252,ORD0067756,P00005,2026-05-09,1,Damaged,Pending
RET0000253,ORD0014068,P01700,2026-01-02,3,Wrong Product,Approved
RET0000254,ORD0095170,P00311,2025-12-24,1,Late Delivery,Approved
RET0000255,ORD0117292,P00953,2026-02-20,1,Incorrect Size,Approved
RET0000256,ORD0019086,P00587,2024-12-21,1,Damaged,Approved
RET0000257,ORD0023751,P00518,2026-07-18,2,Damaged,Processed
RET0000258,ORD0098216,P01424,2025-02-06,1,Customer Changed Mind,Approved
RET0000259,ORD0043151,P01161,2026-01-20,2,Incorrect Size,Approved
RET0000260,ORD0016377,P00465,2024-07-25,1,Wrong Product,Pending
RET0000261,ORD0054482,P00028,2026-05-01,1,Incorrect Size,Processed
RET0000262,ORD0077945,P01062,2026-04-28,1,Incorrect Size,Approved
RET0000263,ORD0072277,P00320,2025-11-20,1,Wrong Product,Approved
RET0000264,ORD0019330,P01292,2026-07-06,1,Quality Issue,Rejected
RET0000265,ORD0030006,P00146,2025-02-17,1,Quality Issue,Processed
RET0000266,ORD0000604,P01239,2025-11-12,1,Late Delivery,Pending
RET0000267,ORD0065674,P01717,2025-12-21,2,Customer Changed Mind,Approved
RET0000268,ORD0032420,P01855,2026-05-04,1,Quality Issue,Processed
RET0000269,ORD0037801,P01061,2026-05-29,1,Quality Issue,Approved
RET0000270,ORD0064667,P00917,2025-10-23,1,Quality Issue,Approved
RET0000271,ORD0110540,P01252,2025-12-16,1,Incorrect Size,Processed
RET0000272,ORD0025732,P01062,2026-01-07,2,Customer Changed Mind,Processed
RET0000273,ORD0040027,P00233,2026-06-02,1,Quality Issue,Approved
RET0000274,ORD0000946,P00373,2024-09-26,3,Incorrect Size,Approved
RET0000275,ORD0078710,P00451,2025-09-14,2,Wrong Product,Processed
RET0000276,ORD0103302,P01909,2025-02-02,1,Damaged,Approved
RET0000277,ORD0003281,P00269,2025-09-16,1,Customer Changed Mind,Approved
RET0000278,ORD0094399,P01276,2024-11-26,1,Incorrect Size,Approved
RET0000279,ORD0054803,P01161,2025-10-12,1,Wrong Product,Approved
RET0000280,ORD0001840,P00638,2025-12-08,1,Quality Issue,Rejected
RET0000281,ORD0009541,P01831,2026-07-07,2,Damaged,Approved
RET0000282,ORD0050653,P01525,2026-05-25,1,Customer Changed Mind,Processed
RET0000283,ORD0082261,P01805,2025-03-09,1,Quality Issue,Processed
RET0000284,ORD0078280,P00879,2026-01-21,1,Damaged,Approved
RET0000285,ORD0051017,P00183,2024-12-22,1,Incorrect Size,Processed
RET0000286,ORD0016909,P01033,2025-03-21,1,Damaged,Approved
RET0000287,ORD0093714,P01536,2025-06-01,2,Incorrect Size,Rejected
RET0000288,ORD0044172,P00273,2025-12-25,1,Wrong Product,Processed
RET0000289,ORD0025667,P00180,2025-11-24,3,Incorrect Size,Processed
RET0000290,ORD0030658,P00247,2024-05-31,1,Quality Issue,Approved
RET0000291,ORD0070397,P01144,2026-02-07,1,Damaged,Processed
RET0000292,ORD0051719,P01848,2026-01-13,1,Damaged,Processed
RET0000293,ORD0045535,P00676,2025-08-05,3,Damaged,Approved
RET0000294,ORD0098616,P01985,2024-08-31,1,Quality Issue,Approved
RET0000295,ORD0042700,P00052,2026-01-26,1,Quality Issue,Approved
RET0000296,ORD0109244,P00711,2025-07-04,1,Customer Changed Mind,Approved
RET0000297,ORD0032388,P01833,2025-11-28,2,Customer Changed Mind,Approved
RET0000298,ORD0059050,P00648,2026-01-25,1,Quality Issue,Pending
RET0000299,ORD0049443,P01588,2024-06-06,1,Late Delivery,Pending
RET0000300,ORD0061660,P00359,2025-10-02,1,Quality Issue,Approved
RET0000301,ORD0033030,P01981,2026-07-15,2,Customer Changed Mind,Pending
RET0000302,ORD0008584,P01668,2024-01-05,1,Quality Issue,Processed
RET0000303,ORD0027541,P01220,2026-01-23,1,Incorrect Size,Processed
RET0000304,ORD0060097,P00237,2025-08-03,1,Customer Changed Mind,Pending
RET0000305,ORD0082179,P00699,2025-02-24,1,Damaged,Processed
RET0000306,ORD0074329,P01709,2024-10-27,1,Damaged,Processed
RET0000307,ORD0085311,P00565,2025-05-01,2,Late Delivery,Approved
RET0000308,ORD0043578,P00393,2025-05-18,1,Customer Changed Mind,Approved
RET0000309,ORD0059257,P01101,2025-06-25,1,Incorrect Size,Pending
RET0000310,ORD0103527,P01565,2025-11-10,1,Quality Issue,Approved
RET0000311,ORD0111745,P00214,2026-02-21,1,Late Delivery,Approved
RET0000312,ORD0004940,P00540,2024-07-15,3,Quality Issue,Approved
RET0000313,ORD0119844,P01923,2026-04-14,1,Wrong Product,Processed
RET0000314,ORD0008281,P00071,2025-04-11,1,Quality Issue,Approved
RET0000315,ORD0076055,P01004,2025-07-26,1,Damaged,Pending
RET0000316,ORD0059935,P01558,2024-05-17,3,Quality Issue,Approved
RET0000317,ORD0074901,P00181,2026-07-21,1,Incorrect Size,Rejected
RET0000318,ORD0100439,P01397,2026-03-09,1,Quality Issue,Processed
RET0000319,ORD0079506,P01067,2024-06-12,2,Incorrect Size,Processed
RET0000320,ORD0041597,P00534,2025-12-29,3,Customer Changed Mind,Approved
RET0000321,ORD0032995,P00637,2025-03-02,2,Quality Issue,Approved
RET0000322,ORD0050895,P01134,2026-05-15,1,Late Delivery,Rejected
RET0000323,ORD0092650,P01092,2024-10-23,1,Quality Issue,Processed
RET0000324,ORD0088637,P00928,2025-03-29,1,Damaged,Approved
RET0000325,ORD0004663,P00437,2025-03-27,1,Wrong Product,Rejected
RET0000326,ORD0114829,P00243,2026-04-01,1,Late Delivery,Processed
RET0000327,ORD0079853,P00217,2026-05-04,1,Damaged,Approved
RET0000328,ORD0083007,P00511,2025-04-28,1,Quality Issue,Processed
RET0000329,ORD0051280,P01406,2025-12-25,2,Incorrect Size,Processed
RET0000330,ORD0009239,P01598,2025-12-15,1,Incorrect Size,Processed
RET0000331,ORD0033856,P00790,2024-05-19,1,Damaged,Approved
RET0000332,ORD0033303,P01840,2025-11-19,1,Incorrect Size,Approved
RET0000333,ORD0054841,P01416,2025-05-01,1,Damaged,Approved
RET0000334,ORD0065930,P01938,2026-07-22,1,Customer Changed Mind,Approved
RET0000335,ORD0048261,P01766,2025-01-16,1,Incorrect Size,Approved
RET0000336,ORD0091401,P00038,2025-06-20,3,Damaged,Processed
RET0000337,ORD0072393,P01291,2025-06-28,1,Damaged,Processed
RET0000338,ORD0049337,P00454,2025-08-15,1,Damaged,Approved
RET0000339,ORD0055519,P00571,2024-06-16,3,Late Delivery,Processed
RET0000340,ORD0071568,P01409,2025-10-02,3,Quality Issue,Approved
RET0000341,ORD0072815,P00823,2026-04-21,2,Damaged,Approved
RET0000342,ORD0074120,P01205,2026-05-04,1,Damaged,Processed
RET0000343,ORD0108995,P01236,2025-05-04,2,Late Delivery,Rejected
RET0000344,ORD0093608,P00295,2026-05-29,1,Wrong Product,Approved
RET0000345,ORD0038241,P00542,2025-12-16,1,Quality Issue,Rejected
RET0000346,ORD0015176,P00742,2026-03-29,1,Incorrect Size,Rejected
RET0000347,ORD0031557,P01364,2025-11-02,1,Quality Issue,Processed
RET0000348,ORD0033357,P00862,2026-07-13,1,Incorrect Size,Pending
RET0000349,ORD0063540,P00976,2025-11-24,1,Late Delivery,Approved
RET0000350,ORD0042808,P00936,2026-03-25,1,Incorrect Size,Approved
RET0000351,ORD0084229,P00025,2025-10-16,3,Wrong Product,Rejected
RET0000352,ORD0063934,P00947,2026-06-16,1,Damaged,Processed
RET0000353,ORD0003605,P01527,2026-05-16,1,Quality Issue,Approved
RET0000354,ORD0064982,P01684,2026-03-18,2,Damaged,Approved
RET0000355,ORD0062765,P01525,2026-02-08,1,Incorrect Size,Approved
RET0000356,ORD0012551,P00169,2025-06-14,1,Quality Issue,Approved
RET0000357,ORD0073197,P00404,2025-07-24,1,Incorrect Size,Approved
RET0000358,ORD0116830,P01423,2025-03-04,1,Customer Changed Mind,Pending
RET0000359,ORD0089565,P01342,2024-06-12,1,Customer Changed Mind,Approved
RET0000360,ORD0073809,P01796,2025-08-25,3,Quality Issue,Processed
RET0000361,ORD0098038,P00717,2025-12-24,1,Wrong Product,Approved
RET0000362,ORD0093292,P01081,2024-09-28,2,Late Delivery,Approved
RET0000363,ORD0079887,P00001,2026-03-10,1,Quality Issue,Rejected
RET0000364,ORD0016995,P01568,2024-11-05,2,Incorrect Size,Approved
RET0000365,ORD0032635,P00652,2024-02-05,1,Quality Issue,Approved
RET0000366,ORD0009240,P00353,2026-07-04,1,Damaged,Processed
RET0000367,ORD0049877,P01336,2025-11-09,3,Customer Changed Mind,Approved
RET0000368,ORD0115464,P01632,2024-02-16,1,Quality Issue,Approved
RET0000369,ORD0045467,P01279,2026-07-05,2,Damaged,Pending
RET0000370,ORD0036187,P00418,2026-05-04,1,Customer Changed Mind,Approved
RET0000371,ORD0050242,P01433,2026-05-16,1,Wrong Product,Processed
RET0000372,ORD0083890,P01835,2025-04-24,1,Damaged,Approved
